Country;Population
Austria;9197213
Belgium;11900123
Bulgaria;6437360
Croatia;3874350
Cyprus;979865
Czechia;10909500
Denmark;5992734
Estonia;1369995
Finland;5635971
France;68635943
Germany;83577140
Greece;10409547
Hungary;9539502
Ireland;5439898
Italy;58934177
Latvia;1856932
Lithuania;2890664
Luxemburg;681973
Malta;574250
Netherlands;18044027
Poland;36497495
Portugal;10749635
Romania;19036031
Slovakia;5419451
Slovenia;2130850
Spain;49077984
Sweden;10587710
United Kingdom;69281437
