Year,ÖVP,SPÖ,FPÖ,VdU,KPÖ,GRÜNE,LIF,BZÖ,TS,JETZT,NEOS,Total,Notes
1949,77,67,0,16,5,0,0,0,0,0,0,165,"VdU (WdU) enters; KPÖ last seats until 1956"
1953,74,73,0,14,4,0,0,0,0,0,0,165,"VdU still active"
1956,82,74,6,0,3,0,0,0,0,0,0,165,"FPÖ first seats; KPÖ last seats"
1959,79,78,8,0,0,0,0,0,0,0,0,165,""
1962,81,76,8,0,0,0,0,0,0,0,0,165,""
1966,85,74,6,0,0,0,0,0,0,0,0,165,"ÖVP absolute majority"
1970,78,81,6,0,0,0,0,0,0,0,0,165,"SPÖ becomes largest"
1971,80,93,10,0,0,0,0,0,0,0,0,183,"Seat total increases to 183"
1975,80,93,10,0,0,0,0,0,0,0,0,183,""
1979,77,95,11,0,0,0,0,0,0,0,0,183,""
1983,81,90,12,0,0,0,0,0,0,0,0,183,""
1986,77,80,18,0,0,8,0,0,0,0,0,183,"Greens enter parliament"
1990,60,80,33,0,0,10,0,0,0,0,0,183,""
1994,52,65,42,0,0,13,11,0,0,0,0,183,"LIF enters"
1995,52,71,41,0,0,9,10,0,0,0,0,183,""
1999,52,65,52,0,0,14,0,0,0,0,0,183,""
2002,79,69,18,0,0,17,0,0,0,0,0,183,""
2006,66,68,21,0,0,21,0,7,0,0,0,183,"BZÖ enters (split from FPÖ)"
2008,51,57,34,0,0,20,0,21,0,0,0,183,""
2013,47,52,40,0,0,24,0,0,11,0,9,183,"Team Stronach & NEOS enter"
2017,62,52,51,0,0,0,0,0,0,8,10,183,"JETZT (Liste Pilz) enters; Greens out"
2019,71,40,31,0,0,26,0,0,0,0,15,183,"Greens return; JETZT out"
2024,51,41,57,0,0,16,0,0,0,0,18,183,"FPÖ finishes first for the first time"
