Acronym,NativeName,EnglishName,EconRating,SocialRating,EconCategory,SocialCategory,SocialCategoryExtended,Notes
ÖVP,Österreichische Volkspartei,Austrian People's Party,3,2,Centre-Right,Centre-Right,"Christian-democratic, pro-business, moderate conservatism","Broad church; pro-EU; regional wings vary"
SPÖ,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,-4,-2,Centre-Left,Centre-Left,"Social-democratic, welfare-state oriented","Trade union ties; internal left/centrist currents"
FPÖ,Freiheitliche Partei Österreichs,Freedom Party of Austria,2,6,Right,Right,"National-conservative, right-populist","Emphasis on immigration restriction; welfare chauvinism"
VdU,Verband der Unabhängigen,Federation of Independents,2,5,Right,Right,"National-liberal (historical)","Predecessor to FPÖ; active 1949–1955"
KPÖ,Kommunistische Partei Österreichs,Communist Party of Austria,-9,-3,Far Left,Left,"Communist / democratic socialist (modern practice)","Parliamentary presence in 1949 & 1953; local resurgence recently"
GRÜNE,Die Grünen – Die Grüne Alternative,The Greens – The Green Alternative,-3,-6,Centre-Left,Left,"Green politics, progressive-libertarian","Pro-EU; environmentalist; civil liberties emphasis"
LIF,Liberales Forum,Liberal Forum,2,-5,Centre-Right,Left,"Classical/civil liberal, socially libertarian","Active 1993–2014; splinter from FPÖ; later allied with NEOS"
BZÖ,Bündnis Zukunft Österreich,Alliance for the Future of Austria,3,5,Centre-Right,Right,"Conservative, personalist (Haider-era)","Split from FPÖ in 2005; peaked 2008"
TS,Team Stronach,Team Stronach for Austria,5,3,Right,Centre-Right,"Pro-market populist, eurosceptic","Short-lived (2012–2017)"
JETZT,JETZT – Liste Pilz,NOW – Pilz List,-2,-4,Centre-Left,Left,"Progressive anti-corruption, green-ish","Entered 2017 as 'Liste Pilz'"
NEOS,NEOS – Das Neue Österreich und Liberales Forum,NEOS – The New Austria and Liberal Forum,3,-5,Centre-Right,Left,"Pro-EU liberal, socially libertarian","Merged with LIF components; education & governance reform"
