Year;Total;CVP/PSC;BSP/PSB;PL;PCB/KPB;LSK;CVV;VU;PVV/PLP;FDF;RW;Agalev;BSP;CD&V;CD&V–N-VA;CVP;CVP-PSC;DéFI;Ecolo;FDF-RW;FN;Groen;KP;LDD;Les Engagés;MR;N-VA;Open Vld;PC;PCB;PLP;PLP(Bxl);PP;PRL;PRLW;PRL–FDF;PS;PSB;PSB(Bxl);PSC;PTB/PVDA;PVV;PVV-PLP;RL;ROSSEM;SP;UDP;UDRT;VB;VLD;Vooruit;cdH;sp.a;sp.a–spirit;Notes
1949;212;105;66;29;12;0;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0.0;0;0.0;0;0;0;0.0;0;0;0.0;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;
1950;212;108;73;20;7;4;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0.0;0;0.0;0;0;0;0.0;0;0;0.0;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;
1954;212;95;82;24;4;5;1;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0.0;0;0.0;0;0;0;0.0;0;0;0.0;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;
1958;212;104;80;20;2;5;0;1.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0.0;0;0.0;0;0;0;0.0;0;0;0.0;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;
1961;212;96;84;20;5;0;0;5.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0.0;0;0.0;0;0;0;0.0;0;0;0.0;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;RN 1 seat
1965;212;77;64;0;6;0;0;12.0;48;3.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0.0;0;0.0;0;0;0;0.0;0;0;0.0;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;
1968;212;69;59;0;5;0;0;20.0;47;6.0;6;0.0;0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0.0;0;0.0;0;0;0;0.0;0;0;0.0;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;
1971;212;0;0;0;0;0;0;21.0;0;0.0;12;0.0;25;0.0;0.0;40.0;12;0.0;0;12;0;0.0;1;0.0;0.0;0.0;0.0;0.0;4;0;11;3;0.0;0.0;0;0.0;0;25;7;15.0;0;16;4.0;4;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;"Brussels joint lists existed: CVP-PSC (12), PVV-PLP (4), PLP(Bxl) (3), PSB(Bxl) (7); RW and FDF also ran a joint list (FDF-RW 12). PC+KP are language lists of the Communist Party."
1974;212;0;0;0;0;0;0;22.0;0;14.0;11;0.0;59;0.0;0.0;50.0;0;0.0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;2;0;0;0.0;0.0;0;0.0;0;0;0;22.0;0;30;0.0;0;0.0;0.0;2;0;0;0.0;0.0;0.0;0.0;0.0;"FDF seats (14) were on joint 'FDF–PDLP' lists; UDP=Democratic and Progressive Union (2)."
1977;211;0;0;0;0;0;0;20.0;0;11.0;4;0.0;27;0.0;0.0;56.0;0;0.0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;2;0;0;0.0;0.0;16;0.0;0;34;0;24.0;0;17;0.0;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;Socialists split: BSP (Flanders) 27, PSB (Wallonia) 34. Liberals split: PVV (Flanders) 17, PRLW (Wallonia) 16. FDF 11. PCB 2. RW 4. One PSB–RW joint list (1) existed but is not separately assigned here.
1978;211;0;0;0;0;0;0;14.0;0;11.0;4;0.0;0;0.0;0.0;57.0;0;0.0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;4;0;0;0.0;0.0;15;0.0;31;0;0;25.0;0;22;0.0;0;0.0;26.0;0;1;1;0.0;0.0;0.0;0.0;0.0;First election after PS/SP split. VB participates for the first time (1 seat). UDRT wins 1 seat.
1981;212;0;0;0;0;0;0;20.0;0;0.0;0;2.0;0;0.0;0.0;43.0;0;0.0;2;8;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;2;0;0;0.0;24.0;0;0.0;35;0;0;18.0;0;28;0.0;0;0.0;26.0;0;3;1;0.0;0.0;0.0;0.0;0.0;Voting age lowered to 18. Greens enter: Ecolo 2, Agalev 2. FDF–RW joint list 8 seats. VB listed with 1 seat.
1985;208;0;0;0;0;0;0;16.0;0;0.0;0;4.0;0;0.0;0.0;49.0;0;0.0;5;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0.0;24.0;0;0.0;35;0;0;20.0;0;22;0.0;0;0.0;32.0;0;0;1;0.0;0.0;0.0;0.0;0.0;"Incumbent Martens V coalition (CVP/PSC + PVV/PRL) continued. Greens grew; VB held 1 seat."
