Acronym;NativeName;EnglishName;EconRating;SocialRating;EconCategory;SocialCategory;SocialCategoryExtended;Notes
Agalev;Anders Gaan Leven;Agalev (Flemish Greens);-4;-6;Left;Left;Green, eco-social, progressive;Rebranded to Groen! in 2003.
BSP;Belgische Socialistische Partij;Belgian Socialist Party (Flanders);-4;-3;Left;Left;Social-democratic, progressive;
BSP/PSB;Belgische Socialistische Partij / Parti Socialiste Belge;Belgian Socialist Party (unitary);-4;-3;Left;Left;Social-democratic, progressive;Unitary party until linguistic split.
CD&V;Christen-Democratisch en Vlaams;Christian Democratic and Flemish;1;3;Centre-Right;Centre-Right;"Christian democratic; moderate conservatism";Successor to CVP.
CD&V–N-VA;CD&V–N-VA;CD&V–N-VA joint list;2;2;Centre-Right;Centre-Right;Christian democratic + Flemish nationalist;2007 alliance column.
CVP;Christelijke Volkspartij;Christian People's Party (Flanders);1;3;Centre-Right;Centre-Right;"Christian democratic; communitarian; moderate conservatism";
CVP-PSC;CVP–PSC;CVP–PSC joint list (Brussels);1;3;Centre-Right;Centre-Right;Christian-democratic joint list;
CVP/PSC;Christelijke Volkspartij / Parti Social Chrétien;Christian Social Party (unitary);1;3;Centre-Right;Centre-Right;Christian democratic, socially conservative, centrist economics;Unitary party pre-1968 split.
CVV;CVV;CVV (historical list);0;0;Centre;Centre;Unknown / historical list;Insufficient documentation in source tables.
DéFI;Démocrate Fédéraliste Indépendant;DéFI (Democratic, Federalist, Independent);1;-2;Centre-Right;Centre-Left;"Francophone regionalist; liberal-leaning";Successor to FDF.
Ecolo;Ecolo;Ecolo (Francophone Greens);-4;-6;Left;Left;Green, eco-social, progressive;
FDF;Front Démocratique des Francophones;Francophone Democratic Front;1;-2;Centre-Right;Centre-Left;"Francophone regionalist; liberal-leaning";Later became DéFI (2016).
FDF-RW;FDF–RW;FDF–RW joint list;0;-2;Centre;Centre-Left;Francophone regionalist alliance;
FN;Front National (Belgique);National Front (Belgium);4;7;Right;Far Right;"Far-right nationalist; authoritarian";
Groen;Groen;Groen (Flemish Greens);-4;-6;Left;Left;Green, eco-social, progressive;Successor to Agalev.
KP;Kommunistische Partij;Communist Party (Flemish list);-9;3;Far Left;Centre-Right;"Communist; traditionally authoritarian left";
LDD;Lijst Dedecker;List Dedecker;6;-2;Right;Centre-Left;Right-liberal, libertarian conservative;
LSK;LSK;LSK (historical list);0;0;Centre;Centre;Unknown / historical list;Insufficient documentation in source tables.
Les Engagés;Les Engagés;Les Engagés;1;2;Centre-Right;Centre-Right;Centrist Christian democratic, communitarian;Rebrand of cdH (2022).
