Year;ABV;ARF;ATAKA;BBB;BCP;BEL;BLUE;BNS;BSP;BSP-LB;BSP-OL;BSPfB;BV;BWC;BZNS;BZNS-DP;DB;DL;DPS;DPS-NB;DSB;FF;GERB;GERB-SDS;IND;ISMV;ISNI;ITN;KB;MUH;NDSV;ODS;OF;OPT;PBSD;PF;PP-DB;RB;RZS;SDS;UP;V;VOLYA;Velichie;Total;Notes
1949;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;241;"Grand National Assembly single list - Fatherland Front (Date 1949-12-18)"
1953;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;249;"Grand National Assembly single list (Date 1953-12-20)"
1957;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;247;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;247;"Grand National Assembly single list (Date 1957-12-22)"
1962;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;321;"Grand National Assembly single list (Date 1962-02-25)"
1966;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;414;"Grand National Assembly single list (Date 1966-02-27)"
1971;0;0;0;0;268;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;400;"Grand National Assembly; seats reflect candidate affiliations (Date 1971-06-27)"
1976;0;0;0;0;272;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;400;"Grand National Assembly single list (Date 1976-05-30)"
1981;0;0;0;0;271;0;0;0;0;0;0;0;0;0;99;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;400;"Grand National Assembly single list (Date 1981-06-07)"
1986;0;0;0;0;276;0;0;0;0;0;0;0;0;0;99;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;400;"Grand National Assembly single list (Date 1986-06-08)"
1990;0;0;0;0;0;0;0;0;211;0;0;0;0;0;16;0;0;0;23;0;0;0;0;2;0;0;0;0;0;0;0;2;1;1;0;0;0;0;144;0;0;0;0;0;400;"Constitutional Grand National Assembly multi-party (Date 1990-06-10)"
1991;0;0;0;0;0;0;0;0;106;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;0;0;0;0;0;240;"First post-communist National Assembly (Date 1991-10-13)"
1994;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;18;0;125;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69;0;0;0;0;240;"DL coalition; BZNS–DP coalition (Date 1994-12-18)"
1997;0;0;0;12;0;14;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;58;0;0;137;0;0;0;0;0;0;0;0;0;0;0;0;0;240;"KB and ODS coalitions; BEL seats (Date 1997-04-19)"
2001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;48;0;120;51;0;0;0;0;0;0;0;0;0;0;0;0;0;240;"NDSV landslide; coalition notes (Date 2001-06-17)"
2005;0;0;21;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;34;0;17;0;0;0;0;0;0;82;0;53;20;0;0;0;0;0;0;0;0;0;0;0;0;0;240;"KB coalition; multiple parties (Date 2005-06-25)"
2009;0;0;21;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;116;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;240;"BLUE coalition; RZS enters (Date 2009-07-05)"
2013;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;97;0;0;0;0;0;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;240;"KB coalition; BSP-led (Date 2013-05-12)"
2014;11;0;11;0;0;0;0;0;0;39;0;0;0;15;0;0;0;0;38;0;0;0;84;0;0;0;0;0;0;0;0;0;0;0;0;19;0;23;0;0;0;0;0;0;240;"BSP-LB; RB; PF; BWC; ABV present (Date 2014-10-05)"
2017;0;0;0;0;0;0;0;0;0;0;0;80;0;0;0;0;0;0;26;0;0;0;95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;12;0;240;"BSPfB; UP present (Date 2017-03-26)"
2021-04;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;0;27;0;30;0;0;0;0;75;0;14;0;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;240;"ISMV seats; early 2021 election (Date 2021-04-04)"
2021-07;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;34;0;29;0;0;0;0;63;0;0;13;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;240;"ISNI successor to ISMV (Date 2021-07-11)"
2021-11;0;0;0;0;0;0;0;0;0;0;0;26;12;0;0;0;0;0;34;0;0;0;67;0;0;0;12;0;0;0;0;0;0;0;109;0;0;0;0;13;0;0;0;0;240;"PP-DB coalition; V; BV lists (Date 2021-11-14)"
2022;0;0;0;0;0;0;0;0;0;0;0;25;12;0;0;0;0;0;36;0;0;0;67;0;0;0;11;0;0;0;0;0;0;0;73;0;0;0;0;27;0;0;0;0;240;"Seats per Wikipedia (Date 2022-10-02)"
2023;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;36;0;0;0;69;0;0;0;11;0;0;0;0;0;0;0;64;0;0;0;0;37;0;0;0;0;240;"BV failed threshold (Date 2023-04-02)"
2024-06;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;47;0;0;0;68;0;0;0;16;0;0;0;0;0;0;0;39;0;0;0;0;38;0;13;0;0;240;"Provisional distribution media (Date 2024-06-09)"
2024-10;0;19;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;29;0;0;66;0;0;0;17;0;11;0;0;0;0;0;36;0;0;0;0;33;0;10;0;0;240;"Pre-recalculation counts; court adjustments later (Date 2024-10-27)"
