"Acronym,NativeName,EnglishName,EconRating,SocialRating,EconCategory,SocialCategory,SocialCategoryExtended,Notes"
"ABV,Алтернатива за българско възраждане,Alternative for Bulgarian Revival,-2,1,Centre-Left,Centre,Moderately traditionalist/authoritarian,Centre-left, social-democratic."
"ARF,АРФ,ARF (label),0,0,Centre,Centre,Centrist,Unclear acronym in 2024 context; please verify."
"ATAKA,Атака,Attack,-2,9,Centre-Left,Far Right,Authoritarian/traditionalist,Nationalist; economically statist/populist."
"BBB,Български бизнес блок,Bulgarian Business Bloc,4,1,Right,Centre,Moderately traditionalist/authoritarian,Pro-business, populist."
"BCP,Българска комунистическа партия,Bulgarian Communist Party,-10,8,Far Left,Far Right,Authoritarian/traditionalist,Ruling party 1946–1989."
"BEL,Българска евро-левица,Bulgarian Euro-Left,-2,-2,Centre-Left,Centre-Left,Moderately progressive/libertarian,Social-democratic, pro-EU."
"BLUE,Синята коалиция,Blue Coalition (coalition),4,-1,Right,Centre,Moderately progressive/libertarian,Centre-right coalition (SDS, DSB, etc.)."
"BNS,Български народен съюз,Bulgarian People's Union (coalition),2,1,Centre-Right,Centre,Moderately traditionalist/authoritarian,Agrarian-conservative coalition."
"BSP,Българска социалистическа партия,Bulgarian Socialist Party,-4,2,Left,Centre-Right,Moderately traditionalist/authoritarian,Social-democratic; some traditionalist stances."
"BSP-LB,БСП – Лява България,BSP – Left Bulgaria (coalition),-4,2,Left,Centre-Right,Moderately traditionalist/authoritarian,Left coalition"
"BSP-OL,БСП – Открита левица,BSP – Open Left (label),-4,2,Left,Centre-Right,Moderately traditionalist/authoritarian,Label as used in 2024; verify."
"BSPfB,БСП за България,BSP for Bulgaria (coalition),-4,2,Left,Centre-Right,Moderately traditionalist/authoritarian,BSP-led coalition."
"BV,Български възход,Bulgarian Rise,1,4,Centre,Right,Moderately traditionalist/authoritarian,Conservative, national-leaning."
"BWC,България без цензура,Bulgaria Without Censorship,1,3,Centre,Right,Moderately traditionalist/authoritarian,Populist."
"BZNS,Български земеделски народен съюз,Bulgarian Agrarian National Union,-5,4,Left,Right,Moderately traditionalist/authoritarian,Satellite of BCP in socialist era; agrarian."
"BZNS-DP,БЗНС–Демократическа партия,BZNS–Democratic Party (coalition),1,0,Centre,Centre,Centrist,Electoral coalition."
"DB,Демократична България,Democratic Bulgaria (coalition),3,-3,Right,Left,Progressive/libertarian,Liberal-conservative/progressive on social issues."
"DL,Демократична левица,Democratic Left (coalition),-4,2,Left,Centre-Right,Moderately traditionalist/authoritarian,BSP-led coalition 1994."
"DPS,Движение за права и свободи,Movement for Rights and Freedoms,1,-3,Centre,Left,Progressive/libertarian,Liberal-centrist; minority rights."
"DPS-NB,ДПС – Ново начало,DPS – New Beginning (label),1,-2,Centre,Centre-Left,Moderately progressive/libertarian,Label as used in 2024; verify exact official naming."
"DSB,Демократи за силна България,Democrats for a Strong Bulgaria,4,-1,Right,Centre,Moderately progressive/libertarian,Conservative, pro-market, pro-EU."
"FF,Отечествен фронт,Fatherland Front,-8,7,Far Left,Far Right,Authoritarian/traditionalist,Single-list umbrella under BCP during socialist era."
"GERB,ГЕРБ — Граждани за европейско развитие на България,GERB — Citizens for European Development of Bulgaria,3,2,Right,Centre-Right,Moderately traditionalist/authoritarian,Centre-right, pro-EU EPP."
"GERB-SDS,ГЕРБ–СДС,GERB–SDS (coalition),3,1,Right,Centre,Moderately traditionalist/authoritarian,Centre-right coalition."
"IND,Независими,Independents,0,0,Centre,Centre,Centrist,Varies by individual; set to neutral."
"ISMV,Изправи се! Мутри вън!,Stand Up! Mafia, Get Out!,-1,-2,Centre,Centre-Left,Moderately progressive/libertarian,Anti-corruption, centre-left lean."
"ISNI,Изправи се.БГ! Ние идваме!,Stand Up.BG! We Are Coming!,-1,-2,Centre,Centre-Left,Moderately progressive/libertarian,Successor to ISMV; anti-corruption."
"ITN,Има такъв народ,There Is Such a People,1,-1,Centre,Centre,Moderately progressive/libertarian,Centrist/anti-establishment."
"KB,Коалиция за България,Coalition for Bulgaria (BSP-led),-3,2,Left,Centre-Right,Moderately traditionalist/authoritarian,Left coalition anchored by BSP."
"MUH,МУХ,MUH (label),0,0,Centre,Centre,Centrist,Unclear acronym in 2024 context; please verify."
"NDSV,Национално движение за стабилност и възход,National Movement for Stability and Progress,2,-1,Centre-Right,Centre,Moderately progressive/libertarian,Centrist liberal; Simeon II movement."
"ODS,Обединени демократични сили,United Democratic Forces (coalition),4,-1,Right,Centre,Moderately progressive/libertarian,Centre-right reformist."
"OF,ОФ,OF (label),0,0,Centre,Centre,Centrist,Minor 1990 party label; please verify official name."
"OPT,ОПТ,OPT (label),0,0,Centre,Centre,Centrist,Minor 1990 party label; please verify official name."
