Year,AKEL,DIKO,DIPA,DISY,ED,EDEK,ELAM,ENIAION,EVROKO,IND,KA,KMTB,KOSP,NO,PF,PM,SYPOL,Total,Notes
1960,5,0,0,0,0,0,0,0,0,0,0,15,0,0,30,0,0,50,"First election; 35 Greek + 15 Turkish seats (all filled)"
1970,9,0,0,0,0,2,0,15,0,2,0,0,0,0,0,7,0,35,"Only Greek community seats (35); 15 Turkish seats vacant"
1976,9,21,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,35,"Contested alliances; 35 seats filled"
1981,12,8,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,35,"Last election with 35 filled seats"
1985,15,16,0,19,0,6,0,0,0,0,0,0,0,0,0,0,0,56,"House expanded to 80 seats; 56 Greek seats (24 Turkish vacant)"
1991,18,11,0,20,0,7,0,0,0,0,0,0,0,0,0,0,0,56,""
1996,19,10,0,20,2,5,0,0,0,0,0,0,0,0,0,0,0,56,""
2001,20,9,0,19,1,4,0,0,0,0,0,0,0,0,1,0,0,54,"Seat total temporarily 54 (2 vacant?)"
2006,18,11,0,18,0,5,0,0,3,0,0,0,1,0,0,0,0,56,""
2011,19,9,0,20,0,5,0,0,2,0,0,0,1,0,0,0,0,56,""
2016,16,9,0,18,0,3,2,0,0,0,3,0,2,0,0,0,3,56,"ELAM enters; small lists KA,KOSP,NO appear"
2021,15,9,4,17,0,4,4,0,0,0,0,0,3,0,0,0,0,56,"Latest election distribution"
