"Acronym,NativeName,EnglishName,EconRating,SocialRating,EconCategory,SocialCategory,SocialCategoryExtended,Notes"
"AKEL,Ανορθωτικό Κόμμα Εργαζόμενου Λαού,Progressive Party of Working People,-8,-2,Far Left,Centre-Left,Communist/left-wing; pro-labour, moderately libertarian socially,Historically Marxist–Leninist; some nationalist positions on Cyprus issue"
"DISY,Δημοκρατικός Συναγερμός,Democratic Rally,3,2,Right,Centre-Right,Liberal-conservative; pro-market, moderately conservative socially,Centre-right, pro‑EU, pro‑market"
"DIKO,Δημοκρατικό Κόμμα,Democratic Party,1,2,Centre-Right,Centre-Right,Centrist to centre-right; communitarian conservative on social issues,Centrist with Greek‑Cypriot nationalist tilt"
"EDEK,Κίνημα Σοσιαλδημοκρατών – ΕΔΕΚ,Movement for Social Democracy – EDEK,-3,1,Left,Centre-Right,Social-democratic; mild social conservatism,Centre‑left economics; Greek‑Cypriot nationalism"
"DIPA,Δημοκρατική Παράταξη,Democratic Alignment (DiPa),1,1,Centre-Right,Centre-Right,Centrist liberal; pragmatic,Split from DIKO; centrist"
"ELAM,Εθνικό Λαϊκό Μέτωπο,National Popular Front (ELAM),4,8,Right,Far Right,Ultranationalist; authoritarian, hard-right socially,Far right; linked historically to Greek Golden Dawn"
"KOSP,Κίνημα Οικολόγων – Συνεργασία Πολιτών,Movement of Ecologists – Citizens' Cooperation (Greens),-2,-3,Centre-Left,Left,Green progressive; civil-liberties oriented,Eco‑left, pro‑environment"
"SYPOL,Συμμαχία Πολιτών,Citizens' Alliance,-1,1,Centre-Left,Centre-Right,Centre to centre‑left economics; nationalist on Cyprus issue,Merged into EDEK in 2021"
"KA,Κίνημα Αλληλεγγύη,Solidarity Movement,3,5,Right,Right,National conservative; socially authoritarian,Formed by split from DISY; absorbed EVROKO"
"EVROKO,Ευρωπαϊκό Κόμμα (ΕΥΡΩ.ΚΟ.),European Party (Evroko),2,4,Centre-Right,Right,Conservative nationalist; hard‑line on Cyprus issue,Merged into Solidarity Movement in 2016"
"ED,Ενωμένοι Δημοκράτες (ΕΔΗ),United Democrats,2,-2,Centre-Right,Centre-Left,Liberal; pro‑market and socially liberal,Successor to Movement of Free Democrats, merged with ADISOK"
"NO,Νέοι Ορίζοντες,New Horizons,2,6,Centre-Right,Right,Right‑wing populist; authoritarian socially,Merged with European Democracy into EVROKO (2005)"
"ENIAION,Ενιαίον Κόμμα,United Party (Eniaion),2,2,Centre-Right,Centre-Right,Moderate conservative; pro‑Western,1969–1976"
"PM,Προοδευτικό Μέτωπο,Progressive Front,2,4,Centre-Right,Right,Right‑wing; conservative nationalist,1970–1976; absorbed into DISY"
"PF,Πατριωτικό Μέτωπο,Patriotic Front,2,4,Centre-Right,Right,Conservative nationalist,Dominant Greek‑Cypriot party in 1960 election"
"KMTB,Kıbrıs Milli Türk Birliği,Cyprus Turkish National Union,2,3,Centre-Right,Right,Communal conservative; Turkish‑Cypriot leadership party,Held Turkish‑Cypriot reserved seats in 1960"
"IND,Ανεξάρτητοι,Independents,0,0,Centre,Centre,Not a party; positions vary,Included because independents won seats in 1970"
