"Acronym,NativeName,EnglishName,EconRating,SocialRating,EconCategory,SocialCategory,SocialCategoryExtended,Notes"
"ANO,ANO 2011,ANO 2011 (Action of Dissatisfied Citizens),1,1,Centre-Right,Centre-Right,Moderate / mixed,Centrism/managerialist; pro-business, pragmatic."
"HSD-SMS,Hnutí za samosprávnou demokracii – Společnost pro Moravu a Slezsko,Movement for Self-Governing Democracy – Society for Moravia and Silesia,0,0,Centre,Centre,Moderate / mixed,Regionalist, centrist; Moravian–Silesian autonomy focus."
"IND,Nezávislí,Independents (non-party NF candidates),0,0,Centre,Centre,Moderate / mixed,Not a single party; placeholder for non-party National Front nominees."
"KDS,Křesťanskodemokratická strana,Christian Democratic Party,2,2,Centre-Right,Centre-Right,Socially conservative,Merged into ODS in 1996."
"KDU-ČSL,Křesťanská a demokratická unie – Československá strana lidová,Christian and Democratic Union – Czechoslovak People's Party,2,3,Centre-Right,Right,Socially conservative,Christian democratic; socially conservative, pro-EU."
"KSČ,Komunistická strana Československa,Communist Party of Czechoslovakia,-10,6,Far Left,Right,Authoritarian-conservative,One-party rule (1948–1989); Marxist–Leninist."
"KSČM,Komunistická strana Čech a Moravy,Communist Party of Bohemia and Moravia,-9,5,Far Left,Right,Authoritarian-conservative,Communist; post-1989 successor to KSČ."
"Motorists,Motoristé,Motorists Party (working label),1,5,Centre-Right,Right,Authoritarian-conservative,Placeholder label from 2025 dataset; adjust to exact registered name if different."
"ODA,Občanská demokratická aliance,Civic Democratic Alliance,3,1,Right,Centre-Right,Moderate / mixed,Liberal-conservative (1990s)."
"ODS,Občanská demokratická strana,Civic Democratic Party,4,1,Right,Centre-Right,Moderate / mixed,Liberal-conservative, pro-market."
"OF,Občanské fórum,Civic Forum,0,-2,Centre,Centre-Left,Mildly progressive,1989–1991 umbrella movement; ideologically broad."
"Piráti,Česká pirátská strana,Czech Pirate Party,-2,-6,Centre-Left,Left,Libertarian-progressive,Alias for encoding variant."
"SPD,Svoboda a přímá demokracie,Freedom and Direct Democracy,1,7,Centre-Right,Far Right,Authoritarian-conservative,Right-wing to far-right; hardline on immigration/EU-sceptic."
"SPR-RSČ,Sdružení pro republiku – Republikánská strana Československa,Association for the Republic – Republican Party of Czechoslovakia,1,6,Centre-Right,Right,Authoritarian-conservative,Nationalist/right-wing populist (1990s)."
"STAN,Starostové a nezávislí,Mayors and Independents,1,-2,Centre-Right,Centre-Left,Mildly progressive,Liberal/centrist localist movement."
"SZ,Strana zelených,Green Party,-2,-5,Centre-Left,Left,Libertarian-progressive,Green, socially liberal."
"9,00 TOP,9,00 TOP,Tradition Responsibility Prosperity 09,4,0,Right,Centre,Moderate / mixed,Liberal-conservative, pro-market, pro-EU."
"US,Unie svobody,Freedom Union,1,-3,Centre-Right,Left,Mildly progressive,Liberal centrist; later part of US-DEU."
"US-DEU,Unie svobody – Demokratická unie,Freedom Union – Democratic Union,1,-3,Centre-Right,Left,Mildly progressive,Liberal centrist alliance (early 2000s)."
"VV,Věci veřejné,Public Affairs,0,-1,Centre,Centre-Left,Moderate / mixed,Anti-corruption, centrist/populist (2010–2013)."
"ÚSVIT,Úsvit přímé demokracie,Dawn of Direct Democracy,1,6,Centre-Right,Right,Authoritarian-conservative,Right-wing populist; Tomio Okamura 2013–15."
"ČSL,Československá strana lidová,Czechoslovak People's Party,2,3,Centre-Right,Right,Socially conservative,Christian democratic; predecessor to KDU-ČSL."
"ČSS,Československá strana socialistická,Czechoslovak Socialist Party,-2,-1,Centre-Left,Centre-Left,Moderate / mixed,Liberal/centrist; part of National Front in the socialist era."
"ČSSD,Česká strana sociálně demokratická,Czech Social Democratic Party,-3,-1,Left,Centre-Left,Moderate / mixed,Social-democratic centre-left."
