Year,SD,V,KF,RV,SF,RF,DKP,DU,SP,FrP,CD,KD,VS,FK,EL,LA,ALT,NB,MOD,DD,DF,IND,UP_FO,SDP_FO,PP_FO,REP_FO,SIU_GL,IA_GL,ATA_GL,DEM_GL,NAL_GL,LC,Total,Notes
1950,59,32,27,12,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,151,"1950 Danish Folketing election (Date: 1950-09-05). Pre-1953 constitution"
1953,74,42,30,14,0,6,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,177,"1953 Danish general election (September) Date: 1953-09-22; first under new constitution; Greenland seats independents (2)"
1957,70,45,30,14,0,9,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,177,"1957 Danish general election Date: 1957-05-14; Greenland 2 independents"
1960,76,38,36,11,11,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,181,"1960 Danish general election Date: 1960-11-15; Greenland 2 independents"
1964,76,38,36,10,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,177,"1964 Danish general election Date: 1964-09-22; Greenland 2 independents"
1966,69,35,34,13,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,177,"1966 Danish general election Date: 1966-11-22; Greenland 2 independents"
1968,62,34,37,27,11,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,177,"1968 Danish general election Date: 1968-01-23; Greenland 2 independents"
1971,70,30,31,27,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,177,"1971 Danish general election Date: 1971-09-21; Greenland 2 independents"
1973,46,22,16,20,11,5,6,0,0,28,14,7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,177,"1973 Danish general election (Landslide) Date: 1973-12-04; Greenland 2 independents"
1975,53,42,10,13,9,0,7,0,0,24,4,9,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,177,"1975 Danish general election Date: 1975-01-09; Greenland 2 independents"
1977,65,21,15,6,7,6,7,0,0,26,11,6,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,177,"1977 Danish general election Date: 1977-02-15; Greenland 2 independents"
1979,68,22,22,10,11,5,0,0,0,20,6,5,6,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,179,"1979 Danish general election Date: 1979-10-23"
1981,59,20,26,9,21,0,0,0,0,16,15,4,5,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,179,"1981 Danish general election Date: 1981-12-08"
1984,56,22,42,10,21,0,0,0,0,6,8,5,5,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,179,"1984 Danish general election Date: 1984-01-10"
1987,54,19,38,11,27,0,0,0,0,9,9,4,0,4,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,179,"1987 Danish general election Date: 1987-09-08"
1988,55,22,35,10,24,0,0,0,0,16,9,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,179,"1988 Danish general election Date: 1988-05-10"
1990,69,29,30,7,15,0,0,0,0,12,9,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,179,"1990 Danish general election Date: 1990-12-12"
1994,62,42,27,8,13,0,0,0,0,11,5,0,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,178,"1994 Danish general election Date: 1994-09-21; 1 independent Denmark proper + 1 Greenland independent"
1998,63,42,16,7,13,0,0,0,0,0,8,4,0,0,5,0,0,0,0,0,13,0,1,0,1,0,1,0,1,0,0,0,175,"1998 Danish general election Date: 1998-03-11; DF first entered parliament"
2001,52,56,16,9,12,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,22,0,1,0,1,0,1,0,1,0,0,0,179,"2001 Danish general election Date: 2001-11-20; Venstre-led govt with DF support"
2005,47,52,18,17,11,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,24,0,1,1,0,0,1,0,1,0,0,0,179,"2005 Danish general election Date: 2005-02-08; Venstre & KF retained power with DF support"
2007,45,46,18,9,23,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,25,0,1,1,0,0,1,0,1,0,0,0,179,"2007 Danish general election Date: 2007-11-13; first with LA; ALT not yet formed"
2011,44,47,8,17,16,0,0,0,0,0,0,0,0,0,12,9,0,0,0,0,22,0,1,1,0,0,1,0,1,0,0,0,179,"2011 Danish general election Date: 2011-09-15; Helle Thorning-Schmidt PM; ALT not yet founded"
2015,47,34,6,8,7,0,0,0,0,0,0,0,0,0,14,13,9,0,0,0,37,0,1,1,0,0,1,0,1,0,0,0,179,"2015 Danish general election Date: 2015-06-18; DF second-largest; Venstre minority govt"
2019,48,43,12,16,14,0,0,0,0,0,0,0,0,0,13,4,5,4,0,0,16,0,1,1,0,0,1,1,0,0,0,0,179,"2019 Danish general election Date: 2019-06-05"
2022,50,23,10,7,15,0,0,0,0,0,0,0,0,0,9,14,6,6,16,14,5,0,1,1,0,0,1,1,0,0,0,0,179,"2022 Danish general election Date: 2022-11-01"
