"Acronym,NativeName,EnglishName,EconRating,SocialRating,EconCategory,SocialCategory,SocialCategoryExtended,Notes"
"RE,Eesti Reformierakond,Estonian Reform Party,4,-3,Centre-Right,Centre-Left,Social-liberal; pro-EU; market-liberal,Scale: econ -10 far-left to +10 far-right; social -10 libertarian/progressive to +10 authoritarian/conservative."
"K,Eesti Keskerakond,Estonian Centre Party,-1,1,Centre,Centre,Big-tent, populist; socially mixed; base among Russian-speaking voters,Positions have varied by leadership; labelled centrist to centre-left/left-conservative."
"SDE,Sotsiaaldemokraatlik Erakond,Social Democratic Party,-3,-4,Centre-Left,Centre-Left,Social-democratic; progressive,Formerly 'Moderates' (Mõõdukad)."
"IRL,Isamaa ja Res Publica Liit,Pro Patria and Res Publica Union,3,3,Centre-Right,Centre-Right,Conservative; Christian-democratic,Merged Pro Patria Union (IL) and Res Publica (RP) in 2006; renamed Isamaa in 2018."
"ISAMAA,Isamaa (Erakond),Isamaa (Fatherland),3.5,4,Centre-Right,Centre-Right,National-conservative; Christian-democratic; economically liberal,Successor name of IRL since 2018."
"RP,Erakond Res Publica,Res Publica Party,3,2,Centre-Right,Centre-Right,Conservative-liberal; EPP-aligned,Merged into IRL in 2006."
"IL,Isamaaliit,Pro Patria Union,2.5,3.5,Centre-Right,Centre-Right,National-conservative; Christian-democratic,Merged with ERSP elements in mid-1990s; merged with RP in 2006 to form IRL."
"EKRE,Eesti Konservatiivne Rahvaerakond,Conservative People's Party of Estonia,4,7.5,Centre-Right,Right,National-conservative; right-populist; socially conservative,Frequently described as far/right radical right."
"E200,Eesti 200,Estonia 200,2,-2,Centre-Right,Centre-Left,Liberal, modernising; pro-EU,Founded 2018; entered Riigikogu in 2023."
"ERL,Eestimaa Rahvaliit,People's Union of Estonia,-1.5,1,Centre-Left,Centre,Agrarian, populist; socially conservative,Merged into EKRE in 2012."
"EER,Erakond Eestimaa Rohelised,Estonian Greens,-2,-3,Centre-Left,Centre-Left,Green politics; social-liberal,Held Riigikogu seats 2007–2011."
"EVA,Eesti Vabaerakond,Estonian Free Party,2,-0.5,Centre-Right,Centre,Centrist/centre-right anti-corruption; moderate,Entered Riigikogu in 2015; later lost representation."
"KMÜ,Koonderakond ja Maarahva Ühendus (valimisliit),Coalition Party and Country Union (electoral alliance),1,1,Centre,Centre,Centrist electoral alliance,1995 alliance led by Estonian Coalition Party."
"IL+ERSP,Isamaaliit + ERSP (valimisliit),Pro Patria Union + Estonian National Independence Party (alliance),2.5,3.5,Centre-Right,Centre-Right,National-conservative alliance,Contested 1995 as a joint list."
"M,Mõõdukad,Moderates,-2.5,-3.5,Centre-Left,Centre-Left,Social-democratic; progressive,Precursor label of SDE."
"PFE,Eestimaa Rahvarinne,Popular Front of Estonia,-1,-1,Centre,Centre,Broad popular front; reformist; pro-independence,Political movement that evolved into Centre Party structures."
"KK,Kindel Kodu (valimisliit),Safe Home (electoral alliance),1,1,Centre,Centre,Centrist electoral cartel around Coalition Party,1992 alliance."
"ERSP,Eesti Rahvusliku Sõltumatuse Partei,Estonian National Independence Party,2,4,Centre-Right,Centre-Right,National-conservative; anti-communist dissident movement,Merged into Pro Patria family in 1995."
"KRE,Eesti Rojalistlik Partei,Independent Royalist Party of Estonia,0,1.5,Centre,Centre-Right,Monarchist protest/satirical party,Short-lived 1990s phenomenon."
"EK,Eesti Kodanik (valimisliit),Estonian Citizen (electoral union),2,2,Centre-Right,Centre-Right,Right-leaning civic electoral list,1992 list; right-wing per ParlGov."
"EEE,Eesti Ettevõtjate Erakond,Estonian Entrepreneurs' Party,5,0,Right,Centre,Pro-business liberal; market radicalism,Minor party; won 1 personal mandate in 1992."
"EÜR+VEE,Eestimaa Ühendatud Rahvapartei + Vene Erakond Eestis (valimisliit),Our Home is Estonia (United People's Party + Russian Party) (alliance),-1.5,1,Centre-Left,Centre,Minority-interest, centre-left alliance,Contested 1995; won 6 seats."
"EÜRP,Eestimaa Ühendatud Rahvapartei,Estonian United People's Party,-2,1,Centre-Left,Centre,Minority-interest, centre-left,Later part of 1995 alliance; merged/declined."
"ECP,Eesti Koonderakond,Estonian Coalition Party,1.5,1,Centre-Right,Centre,Centrist/centrist-liberal,Led KMÜ; active in 1990s."
