Year,SDP,KOK,KESK,SKDL,VAS,RKP,KP,LKP,TPSL,SMP,KD,VIHR,PS,LIIK,Å,Independent,LL,SHP,POP,REM,SKYP,SPK,YF,EKO,Total,Notes
1951,53,28,51,43,0,14,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,200,"Agrarian League counted under KESK; KP=People's Party; SFP renamed RKP"
1954,54,24,53,43,0,12,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,200,"KP=People's Party; SFP renamed RKP"
1958,48,29,48,50,0,13,8,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,200,"TPSL appears (3); KP=People's Party; SFP renamed RKP"
1962,38,32,53,47,0,13,13,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,200,"Includes 1-seat minor in OTHERS; KP=People's Party; LL split; SFP renamed RKP"
1966,55,26,49,41,0,11,0,9,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,200,"LKP=Liberal People's Party; SHP split; SFP renamed RKP"
1970,52,37,36,36,0,11,0,8,0,18,1,0,0,0,1,0,0,0,0,0,0,0,0,0,200,"KD historically SKL; SFP renamed RKP"
1972,55,34,35,37,0,9,0,7,0,18,4,0,0,0,1,0,0,0,0,0,0,0,0,0,200,"SFP renamed RKP"
1975,54,35,39,40,0,9,0,9,0,2,9,0,0,0,1,0,0,0,0,0,1,1,0,0,200,"SKYP=Finnish People's Unity (1); SPK=Constitutional People's (1); SFP renamed RKP"
1979,52,47,36,35,0,9,0,4,0,7,9,0,0,0,1,0,0,0,0,0,0,0,0,0,200,"SFP renamed RKP"
1983,57,44,38,26,0,10,0,0,0,17,3,2,0,0,1,1,0,0,1,0,0,0,0,0,200,"OTHERS had 2 minor seats; POP split; SFP renamed RKP"
1987,56,53,40,16,0,12,0,0,0,9,5,4,0,0,1,4,0,0,0,0,0,0,0,0,200,"OTHERS included Democratic Alternative (4); SFP renamed RKP"
1991,48,40,55,0,19,11,0,1,0,7,8,10,0,0,1,0,0,0,0,0,0,0,0,0,200,"VAS replaces SKDL; LKP 1; SFP renamed RKP"
1995,63,39,44,0,22,11,0,0,0,1,7,9,0,0,1,0,0,0,0,0,0,0,2,1,200,"YF=Young Finns (2); EKO=Ecological Party Greens (1); SFP renamed RKP"
1999,51,46,48,0,20,11,0,0,0,0,10,11,1,0,1,0,0,0,0,1,0,0,0,0,200,"REM=Reform Group (1); SFP renamed RKP"
2003,53,40,55,0,19,8,0,0,0,0,7,14,3,0,1,0,0,0,0,0,0,0,0,0,200,"Åland Coalition seat; SFP renamed RKP"
2007,45,50,51,0,17,9,0,0,0,0,7,15,5,0,1,0,0,0,0,0,0,0,0,0,200,"Åland Coalition seat; SFP renamed RKP"
2011,42,44,35,0,14,9,0,0,0,0,6,10,39,0,1,0,0,0,0,0,0,0,0,0,200,"Åland Coalition seat; SFP renamed RKP"
2015,34,37,49,0,12,9,0,0,0,0,5,15,38,0,1,0,0,0,0,0,0,0,0,0,200,"Åland Coalition seat; SFP renamed RKP"
2019,40,38,31,0,16,9,0,0,0,0,5,20,39,1,1,0,0,0,0,0,0,0,0,0,200,"LIIK=Liike Nyt; Åland Coalition seat; SFP renamed RKP"
2023,43,48,23,0,11,9,0,0,0,0,5,13,46,1,1,0,0,0,0,0,0,0,0,0,200,"Åland Coalition seat; SFP renamed RKP"
