Acronym,NativeName,EnglishName,EconRating,SocialRating,EconCategory,SocialCategory,SocialCategoryExtended,Notes
EKO,Ekologinen puolue Vihreät,Ecological Party the Greens,-2,-4,Centre-Left,Left,Green; environmentalist and socially progressive.,"Heuristic placement averaged over 1951–2023 where applicable; historical shifts exist."
KD,Suomen Kristillisdemokraatit (ent. SKL),Christian Democrats (Finland),2,5,Centre-Right,Right,Christian democratic; socially conservative.,"Heuristic placement averaged over 1951–2023 where applicable; historical shifts exist."
KESK,Suomen Keskusta,Centre Party,0,1,Centre,Centre-Right,Centrist agrarian; decentralization, "moderate social conservatism.,Heuristic placement averaged over 1951–2023 where applicable; historical shifts exist."
KOK,Kansallinen Kokoomus,National Coalition Party,3,1,Right,Centre-Right,Liberal-conservative; market-friendly, "moderately socially liberal.,Heuristic placement averaged over 1951–2023 where applicable; historical shifts exist."
KP,Kansanpuolue,People's Party (Finland, historical),0,-2,Centre,Centre-Left,"Classical-liberal/centrist; pro‑civil liberties.,Heuristic placement averaged over 1951–2023 where applicable; historical shifts exist."
LIIK,Liike Nyt,Movement Now,3,1,Right,Centre-Right,Liberal‑conservative; pro‑business, "mild social conservatism.,Heuristic placement averaged over 1951–2023 where applicable; historical shifts exist."
LKP,Liberaalinen Kansanpuolue,Liberal People's Party,1,-2,Centre-Right,Centre-Left,Liberal; market-friendly, "socially progressive.,Heuristic placement averaged over 1951–2023 where applicable; historical shifts exist."
LL,Liberaalinen liitto,Liberal League (historical),1,-2,Centre-Right,Centre-Left,Liberal; pro‑civil liberties.,Heuristic placement averaged over 1951–2023 where applicable; historical shifts exist."
POP,Perustuslaillinen Oikeistopuolue,Constitutional Right Party,4,5,Right,Right,Right‑conservative; anti‑communist.,Heuristic placement averaged over 1951–2023 where applicable; historical shifts exist."
PS,Perussuomalaiset,Finns Party,2,7,Centre-Right,Far Right,Right‑wing populist; nationalist, "socially conservative.,Heuristic placement averaged over 1951–2023 where applicable; historical shifts exist."
REM,Remonttiryhmä,Reform Group (1999),1,2,Centre-Right,Centre-Right,Centrist/populist; pragmatic, "mild conservatism.,Heuristic placement averaged over 1951–2023 where applicable; historical shifts exist."
RKP,Svenska folkpartiet i Finland,Swedish People's Party of Finland,1,-1,Centre-Right,Centre-Left,Liberal-centrist; minority rights and pro‑EU.,Heuristic placement averaged over 1951–2023 where applicable; historical shifts exist."
SDP,Suomen Sosialidemokraattinen Puolue,Social Democratic Party of Finland,-3,-2,Left,Centre-Left,Social-democratic, "progressive on rights; pro-welfare state.,Heuristic placement averaged over 1951–2023 where applicable; historical shifts exist."
SHP,Pienviljelijäin puolue / Pientalonpoikien Puolue (Smallholders),Smallholders’ Party (historical),-2,2,Centre-Left,Centre-Right,Agrarian left‑populist; socially traditional.,Heuristic placement averaged over 1951–2023 where applicable; historical shifts exist."
SKDL,Suomen Kansan Demokraattinen Liitto,Finnish People's Democratic League,-8,-5,Far Left,Left,Communist-led left alliance; socialist/Marxist orientation.,Heuristic placement averaged over 1951–2023 where applicable; historical shifts exist."
SKYP,Suomen Kansan Yhtenäisyyden Puolue,Finnish People's Unity Party,2,5,Centre-Right,Right,Right‑populist split from SMP; socially conservative.,Heuristic placement averaged over 1951–2023 where applicable; historical shifts exist."
SMP,Suomen Maaseudun Puolue,Finnish Rural Party,-1,4,Centre-Left,Right,Populist agrarian; socially conservative.,Heuristic placement averaged over 1951–2023 where applicable; historical shifts exist."
SPK,Perustuslaillinen Kansanpuolue,Constitutional People’s Party,3,3,Right,Right,Conservative‑liberal; anti‑communist.,Heuristic placement averaged over 1951–2023 where applicable; historical shifts exist."
TPSL,Työväen ja Pienviljelijäin Sosialidemokraattinen Liitto,Social Democratic Union of Workers and Smallholders,-5,-3,Left,Left,Left social-democratic; trade‑unionist.,Heuristic placement averaged over 1951–2023 where applicable; historical shifts exist."
VAS,Vasemmistoliitto,Left Alliance,-5,-3,Left,Left,Democratic socialist/eco-socialist; progressive on social issues.,Heuristic placement averaged over 1951–2023 where applicable; historical shifts exist."
VIHR,Vihreä liitto,Green League,-2,-6,Centre-Left,Left,Green progressive; civil liberties, "environmentalism.,Heuristic placement averaged over 1951–2023 where applicable; historical shifts exist."
YF,Nuorsuomalaiset,Young Finns (1990s),2,-1,Centre-Right,Centre-Left,Liberal‑conservative; pro‑market, "moderately liberal on rights.,Heuristic placement averaged over 1951–2023 where applicable; historical shifts exist."
Å,Åländsk Samling (Ålandskoalitionen),Åland Coalition (regional alliance),0,0,Centre,Centre,Regionalist alliance; pragmatic centrist.,Heuristic placement averaged over 1951–2023 where applicable; historical shifts exist."
Independent,Itsenäiset kansanedustajat,Independent MPs,0,0,Centre,Centre,Varied ideologies; non-affiliated.,Heuristic placement averaged over 1951–2023 where applicable; historical shifts exist."
