Year,RPF,UNR,UDR,RPR,UMP,LR,SFIO,PS,PCF,EELV,PRG,PRV,MRG,LFI,LREM,RE,MoDem,Horizons,UDF,UDI,NC,MRP,CNIP,RGR,UDSR,UDCA,UFF,CD,PDM,FN,RN,LIOT,UDPR,Agir,Independents,Total,Notes
1951,107,0,0,0,0,0,94,0,97,0,0,0,0,0,0,0,0,0,0,0,0,82,87,77,0,0,0,0,0,0,0,0,0,0,81,625,Fourth Republic (PR). RGR aggregates Radicals/centre-left allies.
1956,0,0,0,0,0,0,88,0,147,0,0,0,0,0,0,0,0,0,0,0,0,71,95,73,0,51,0,0,0,0,0,0,0,0,19,544,PR system. Radical‑UDSR aggregated in RGR; Poujadists (UDCA) 51.
1958,0,189,0,0,0,0,40,0,10,0,0,37,0,0,0,0,0,0,0,0,0,57,132,0,0,0,0,0,0,0,0,0,0,0,1,466,First Fifth‑Republic election (two‑round). UNR mapped to Gaullists.
1962,0,229,0,0,0,0,65,0,41,0,0,42,0,0,0,0,0,0,0,0,0,36,28,0,0,0,0,20,0,0,0,0,0,0,4,465,UNR‑UDT bloc 229. Independent Republicans ~20 mapped to CD; Radicals ~42.
1967,0,0,240,0,0,0,118,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,14,487,UDR largest bloc. FGDS allocated mainly to SFIO column.
1968,0,0,354,0,0,0,57,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,14,487,Post‑May '68 landslide for UDR.
1973,0,0,272,0,0,0,0,102,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,14,491,Reforming Movement (centre) mapped to CD≈30.
1978,0,0,0,150,0,0,0,104,86,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,491,Bipolarisation: RPR + UDF vs PS + PCF.
1981,0,0,0,85,0,0,0,269,44,0,0,0,14,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,491,Mitterrand majority; MRG (PRG predecessor) 14.
1986,0,0,0,155,0,0,0,212,35,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,9,577,PR system; parliamentary groups. 9 non‑inscrits → Others.
1988,0,0,0,128,0,0,0,262,27,0,0,0,9,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,577,Two‑round restored.
1997,0,0,0,139,0,0,0,255,35,7,12,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,577,Plural Left victory.
2002,0,0,0,0,357,0,0,140,21,3,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,577,Right landslide (UMP).
2007,0,0,0,0,313,0,0,186,15,4,7,0,0,0,0,0,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,27,577,UMP majority; New Centre 22; MoDem 3.
2012,0,0,0,0,194,0,0,280,10,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,62,577,PS majority with allies; UMP 194; FN 2.
2017,0,0,0,0,0,112,0,30,10,1,0,0,0,17,308,0,42,0,0,10,0,0,0,0,0,0,0,0,0,8,0,0,0,8,31,577,"Macron wave: LREM 308, MoDem 42, LR 112, FN 8; UDI+Agir small."
2022,0,0,0,0,0,64,0,31,12,23,0,0,0,75,0,170,48,30,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,35,577,"Hung Assembly: Ensemble (RE 170, MoDem 48, Horizons 30); NUPES components shown."
2024,0,0,0,0,0,50,0,69,17,38,0,0,0,71,0,92,36,34,0,0,0,0,0,0,0,0,0,0,0,0,123,22,16,0,9,577,Final group composition (members + apparentés). Others includes 9 non‑inscrits.
