Acronym,NativeName,EnglishName,EconRating,SocialRating,EconCategory,SocialCategory,SocialCategoryExtended,Notes
PS,Parti socialiste,Socialist Party,-3,-3,Left,Left,Pro‑EU social democracy; progressive on society,Successor to SFIO; major left since 1971.
SFIO,Section française de l’Internationale ouvrière,French Section of the Workers' International,-4,-2,Left,Centre-Left,Social-democratic; republican laïcité; moderate post‑war,Merged into PS in 1969–71 reorganisation.
PCF,Parti communiste français,French Communist Party,-8,-1,Far Left,Centre-Left,Marxist/communist economics; civil liberties mixed historically,Allied with left blocs at various times.
EELV,Europe Écologie Les Verts,Europe Ecology – The Greens,-4,-5,Left,Left,Green-left; pro‑EU; civil‑liberties/progressive,Often allied with PS/LFI under NUPES 2022.
PRG,Parti radical de gauche,Radical Party of the Left,-2,-2,Centre-Left,Centre-Left,"Social‑liberal, laïcité; decentralisation",Split from Radical Party (PRV) in 1972; allied with PS.
PRV,Parti radical (valoisien),Radical Party (Valois),1,-1,Centre-Right,Centre-Left,Social‑liberal/centrist; secular republican,Also known as Radical valoisien; later within UDI.
MRG,Mouvement des radicaux de gauche,Radical Movement of the Left,-2,-2,Centre-Left,Centre-Left,Left‑radical/social‑liberal,Earlier name for PRG in 1970s–80s data.
LFI,La France insoumise,France Unbowed,-7,-5,Far Left,Left,Left‑populist; civil‑liberties/progressive; Eurosceptic on policy constraints,Core of NUPES and 2024 NFP.
RE,Renaissance,Renaissance,2,-1,Centre,Centre-Left,"Liberal, pro‑EU; progressive on many social issues",Formerly LREM; Macronist.
LREM,La République en marche,The Republic on the Move,2,-1,Centre,Centre-Left,"Liberal, pro‑EU; progressive on many social issues",Renamed Renaissance in 2022.
MoDem,Mouvement démocrate,Democratic Movement,1,-1,Centre,Centre-Left,"Centrist, Christian‑democratic roots; pro‑EU",Frequent ally of Renaissance.
Horizons,Horizons,Horizons,2,0,Centre-Right,Centre,Liberal‑conservative; technocratic; pro‑EU,Édouard Philippe’s party; ally of Renaissance.
LR,Les Républicains,The Republicans,4,2,Right,Centre-Right,Liberal‑conservative/Gaullist; tougher on law/order,Successor to UMP (2015).
RPR,Rassemblement pour la République,Rally for the Republic,4,3,Right,Right,Gaullist; conservative; state‑role in industry historically,Merged into UMP in 2002.
UMP,Union pour un mouvement populaire,Union for a Popular Movement,4,2,Right,Centre-Right,Broad centre‑right (liberal‑/Gaullist currents),Renamed LR in 2015.
UNR,Union pour la nouvelle République,Union for the New Republic,3,3,Right,Right,Early Fifth‑Republic Gaullist,Predecessor in Gaullist lineage.
UDR,Union des démocrates pour la République,Union of Democrats for the Republic,3,3,Right,Right,Gaullist successor to UNR,Predecessor of RPR.
RPF,Rassemblement du peuple français,Rally of the French People,3,4,Right,Right,Gaullist movement of the Fourth Republic,Pre‑Fifth‑Republic Gaullism.
UDF,Union pour la démocratie française,Union for French Democracy,1,0,Centre,Centre,Centrist confederation (liberal + Christian‑democrat),Allied with RPR/UMP; later splinters to MoDem/NC.
UDI,Union des démocrates et indépendants,Union of Democrats and Independents,1,0,Centre,Centre,"Liberal‑centrist, pro‑EU",Formed 2012; includes PRV lineage.
NC,Nouveau Centre,New Centre,2,0,Centre-Right,Centre,Centre‑right split from UDF; Christian‑democrat,Often allied with UMP/LR; later within UDI.
MRP,Mouvement républicain populaire,Popular Republican Movement,0,1,Centre,Centre-Right,Christian‑democratic; pro‑European,Major Fourth‑Republic party; declined under Fifth.
CNIP,Centre national des indépendants et paysans,National Centre of Independents and Peasants,5,3,Right,Right,"Conservative, economically liberal",Strong in 1950s; later diminished.
RGR,Rassemblement des gauches républicaines,Rally of the Republican Lefts,-1,-1,Centre-Left,Centre-Left,Alliance label for Radicals/centre‑left,Fourth‑Republic alliance label.
UDSR,Union démocratique et socialiste de la Résistance,Democratic and Socialist Union of the Resistance,-2,-2,Centre-Left,Centre-Left,Social‑democratic/centrist,"Fourth‑Republic small party, often allied with Radicals."
UDCA,Union de défense des commerçants et artisans (Poujadistes),Union for the Defence of Tradesmen and Artisans (Poujadists),3,6,Right,Right,"Populist, anti‑tax, anti‑establishment; socially conservative",Peaked in 1956 with 51 seats.
UFF,Union et fraternité française,Union and French Fraternity,5,6,Right,Right,National‑conservative/far‑right tendency,Occasional label associated with Poujadist/ultra‑right currents in 1950s.
CD,Centre démocrate,Democratic Centre,1,0,Centre,Centre,Centrist Christian‑democrat,Active in 1960s–70s; later into UDF.
PDM,Progrès et Démocratie Moderne,Progress and Modern Democracy,1,0,Centre,Centre,Centrist reformist alliance,Late‑1960s/early‑1970s centrist formation.
FN,Front national,National Front,4,7,Right,Far Right,"Nationalist, anti‑immigration; authoritarian",Renamed Rassemblement national in 2018.
RN,Rassemblement national,National Rally,4,7,Right,Far Right,"Nationalist, anti‑immigration; authoritarian",Successor name to FN.
LIOT,"Libertés, Indépendants, Outre-mer et Territoires (groupe)","Liberties, Independents, Overseas and Territories (group)",0,0,Centre,Centre,Heterogeneous regionalist/centrist parliamentary group,Parliamentary group label; not a single party.
UDPR,Union des droites pour la République (groupe),Union of the Rights for the Republic (group),4,4,Right,Right,Right to hard‑right alliance group,"2024 parliamentary group label; multi‑party (e.g., DLF, Reconquête)."
Agir,"Agir, la droite constructive","Act, the Constructive Right",2,1,Centre-Right,Centre-Right,Liberal‑conservative splinter cooperating with Macron,Small party; seats often within UDI/Agir ‘Constructives’.
