Year,CDU/CSU,SPD,FDP,GRUENE,DIE LINKE_PDS,AfD,DP,GB_BHE,BP,Zentrum,WAV,DRP,KPD_DKP,SSW,Independents,Total,Notes
1949,139,136,53,0,0,0,17,0,17,10,12,5,15,1,3,402,First Bundestag; CDU 117 + CSU 24; KPD seats; multiple minor parties incl. WAV; SSW won 1; single-vote system.
1953,243,151,48,0,0,0,15,27,0,3,0,0,0,0,0,487,GB/BHE enters with 27; DP 15; Zentrum 3.
1957,270,169,41,0,0,0,17,0,0,0,0,0,0,0,0,497,High CDU/CSU majority.
1961,242,190,67,0,0,0,0,0,0,0,0,0,0,0,0,499,Per-year page splits CDU 201 / CSU 50; totals shown as CDU/CSU.
1965,245,202,49,0,0,0,0,0,0,0,0,0,0,0,0,496,
1969,242,224,30,0,0,0,0,0,0,0,0,0,0,0,0,496,
1972,225,230,41,0,0,0,0,0,0,0,0,0,0,0,0,496,
1976,243,214,39,0,0,0,0,0,0,0,0,0,0,0,0,496,
1980,226,218,53,0,0,0,0,0,0,0,0,0,0,0,0,497,
1983,244,193,34,27,0,0,0,0,0,0,0,0,0,0,0,498,Greens enter (West) for the first time.
1987,223,186,46,42,0,0,0,0,0,0,0,0,0,0,0,497,
1990,319,239,79,8,17,0,0,0,0,0,0,0,0,0,0,662,First all-Germany election; Greens enter via East lists; PDS enters.
1994,294,252,47,49,30,0,0,0,0,0,0,0,0,0,0,672,
1998,245,298,43,55,36,0,0,0,0,0,0,0,0,0,0,669,
2002,248,251,47,55,2,0,0,0,0,0,0,0,0,0,0,603,PDS kept 2 via direct mandates despite <5%.
2005,226,222,61,51,54,0,0,0,0,0,0,0,0,0,0,614,PDS/Linkspartei (Die Linke.PDS) appears.
2009,239,146,93,68,76,0,0,0,0,0,0,0,0,0,0,622,
2013,311,193,0,63,64,0,0,0,0,0,0,0,0,0,0,631,FDP below threshold (no seats).
2017,246,153,80,67,69,94,0,0,0,0,0,0,0,0,0,709,AfD enters; DIE LINKE 69 per Wahlrecht; official total 709.
2021,197,206,92,118,39,83,0,0,0,0,0,0,0,0,1,736,Includes Berlin partial re-run adjustments; SSW 1 seat.
2025,208,120,0,85,64,152,0,0,0,0,0,0,0,0,1,630,Final result: CDU/CSU 208 (CDU 164 + CSU 44); FDP & BSW no seats; AfD 152; SSW 1.
