Acronym,NativeName,EnglishName,EconRating,SocialRating,EconCategory,SocialCategory,SocialCategoryExtended,Notes
AE,Οικολόγοι Εναλλακτικοί,Alternative Ecologists,-3,-2,Left,Centre-Left,Green, eco‑socialist
AGRLAB,Αγροτικόν και Εργατικόν Κόμμα,Agrarian and Labour Party,-1,-1,Centre-Left,Centre-Left,Agrarian‑labour centrist,""
ANEL,Ανεξάρτητοι Έλληνες,Independent Greeks,2,6,Centre-Right,Right,Right-wing populist; nationalist,""
DHKKI,Δημοκρατικό Κοινωνικό Κίνημα (ΔΗΚΚΙ),Democratic Social Movement,-4,-2,Left,Centre-Left,Left‑wing social‑democratic,""
DIANA,Δημοκρατική Ανανέωση (ΔΗ.ΑΝΑ.),Democratic Renewal,2,3,Centre-Right,Right,Liberal‑conservative, centre‑right,""
DIMAR,Δημοκρατική Αριστερά,Democratic Left,-2,-2,Centre-Left,Centre-Left,Social democratic; moderate,""
DISY,Δημοκρατική Συμπαράταξη,Democratic Alignment (2015 PASOK–DIMAR),-2,-2,Centre-Left,Centre-Left,Centre‑left alliance,""
DP,Δημοκρατική Παράταξη,Democratic Alignment (1950),-7,-3,Far Left,Left,Left coalition incl. communists (illegal KKE support),""
DU,Δημοκρατική Ένωσις,Democratic Union (1956 alliance),-2,-1,Centre-Left,Centre-Left,Centrist/centre‑left alliance vs ERE,""
EDA,Ενιαία Δημοκρατική Αριστερά,United Democratic Left,-7,-3,Far Left,Left,Broad left (incl. communist‑aligned),""
EDIK,Ένωσι Δημοκρατικού Κέντρου,Union of the Democratic Centre,-1,-1,Centre-Left,Centre-Left,Centrist liberal,""
EK,Ένωσι Κεντρώων,Union of Centrists,1,1,Centre-Right,Centre-Right,Centrist; anti-corruption,""
EK-KP,Ένωσι Κέντρου – Προοδευτικό Κόμμα,Centre Union – Progressive Party (alliance),-1,-1,Centre-Left,Centre-Left,Centrist alliance,""
EKNF,Ένωσι Κέντρου – Νέες Δυνάμεις,Centre Union – New Forces,-1,-1,Centre-Left,Centre-Left,Centrist‑liberal,""
EL,Ελληνική Λύση,Greek Solution,3,8,Right,Far Right,National conservative; right‑wing populist,""
ELK,Εθνική Λαϊκή Κίνηση (ή Προοδευτικό Κόμμα),National Popular Movement / Progressive Party (component in 1958),1,2,Centre-Right,Centre-Right,Conservative/centrist component; label varies,""
EP,Προοδευτικό Κόμμα,Progressive Party (Greece),1,2,Centre-Right,Centre-Right,Conservative‑liberal (mid‑20th c.),""
EPEK,Εθνική Προοδευτική Ένωσις Κέντρου,National Progressive Centre Union,-1,1,Centre-Left,Centre-Right,Centrist, Venizelist,""
ERE,Εθνική Ριζοσπαστική Ένωσις,National Radical Union,3,3,Right,Right,Conservative; pro‑Western,""
FATE,πεπρωμένο,Fate (Muslim minority list),0,1,Centre,Centre-Right,Regional minority list (Xanthi),""
GPP,Κόμμα Γεωργίου Παπανδρέου,Georgios Papandreou Party,-1,-1,Centre-Left,Centre-Left,Centrist Venizelist list,""
GR,Ελληνικός Συναγερμός,Greek Rally,3,4,Right,Right,Conservative; anti‑communist,""
KEFALLONIA,Συνεργασία Κεφαλονιάς–Ιθάκης,Kefalonia–Ithaca Cooperation (local list),0,0,Centre,Centre,Local/regional list (1990 one‑seat),""
KINAL,Κίνημα Αλλαγής,Movement for Change,-2,-2,Centre-Left,Centre-Left,Centre-left alliance (PASOK-led),""
KKE,Κομμουνιστικό Κόμμα Ελλάδας,Communist Party of Greece,-10,-4,Far Left,Left,Marxist–Leninist; hard Eurosceptic,""
KKEint,ΚΚΕ Εσωτερικού,Communist Party of Greece (Interior),-7,-2,Far Left,Centre-Left,Eurocommunist,""
KNF,Νέες Δυνάμεις,New Forces (component list),0,0,Centre,Centre,Component label in Centre‑Union currents,""
LAOS,Λαϊκός Ορθόδοξος Συναγερμός,Popular Orthodox Rally,2,7,Centre-Right,Far Right,National conservative; Greek Orthodox emphasis,""
LP,Κόμμα Φιλελευθέρων,Liberal Party,-1,-1,Centre-Left,Centre-Left,Liberal centrist,""
MeRA25,Μέτωπο Ευρωπαϊκής Ρεαλιστικής Ανυπακοής (ΜέΡΑ25),European Realistic Disobedience Front (MeRA25),-7,-3,Far Left,Left,Radical left; DiEM25 affiliate,""
ND,Νέα Δημοκρατία,New Democracy,4,3,Right,Right,Liberal-conservative; pro-EU,""
NIKI,Δημοκρατικό Πατριωτικό Λαϊκό Κίνημα «Νίκη»,Democratic Patriotic Popular Movement ‘Niki’,1,8,Centre-Right,Far Right,Ultra‑conservative; religious right,""
NP,Νέον Κόμμα,New Party,1,1,Centre-Right,Centre-Right,Small centrist group (1950),""
NPG,Εθνικόν Κόμμα Ελλάδος,National Party of Greece,2,3,Centre-Right,Right,Conservative (Zervas),""
NRF,Μέτωπον Εθνικής Αναδημιουργίας,National Regeneration Front,2,3,Centre-Right,Right,Conservative pro‑regeneration,""
PADE,Προοδευτική Αγροτική Δημοκρατική Ένωσις,Progressive Agricultural Democratic Union,0,0,Centre,Centre,Centrist agrarian coalition,""
PAP,Πολιτική Ανεξάρτητος Παράταξις,Independent Political Grouping (right bloc),3,5,Right,Right,Right‑wing anti‑left bloc,""
PASOK,Πανελλήνιο Σοσιαλιστικό Κίνημα,Panhellenic Socialist Movement,-2,-2,Centre-Left,Centre-Left,Social democratic; pro-EU,""
PASOK-KINAL,ΠΑΣΟΚ – Κίνημα Αλλαγής,PASOK – Movement for Change,-2,-2,Centre-Left,Centre-Left,Centre-left alliance (PASOK-led),""
PE,Πλεύση Ελευθερίας,Course of Freedom,-4,1,Left,Centre-Right,Left‑wing populist; sovereigntist,""
POLAN,Πολιτική Άνοιξη,Political Spring,3,6,Right,Right,National conservative; Eurosceptic (1990s),""
POTAMI,Το Ποτάμι,The River,0,-2,Centre,Centre-Left,Centrist, social-liberal,""
