Year,MDP,MSZMP,MSZP,MDF,SZDSZ,FKGP,Fidesz,KDNP,MIEP,Jobbik,LMP,DK,Momentum,PM,E14,MLP,Independents,German_Minority,Total,Notes
1949,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,"Single MFN list led by MDP; no other parties permitted"
1953,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,298,"Single MFN list (MDP + pro-regime independents)"
1958,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,338,"Patriotic People's Front single list (MSZMP + independents)"
1963,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,340,"Single list (HSWP/MSZMP + independents)"
1967,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,349,"Single list (HSWP/MSZMP + independents)"
1971,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,352,"Single list (HSWP/MSZMP + independents)"
1975,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,352,"Single list (HSWP/MSZMP + independents)"
1980,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,352,"Single list (HSWP/MSZMP + independents)"
1985,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1,387,"One seat initially vacant; later filled 1986 by-election"
1990,0,0,33,164,92,44,22,21,0,0,0,0,0,0,0,0,0,0,376,"First free election since 1945"
1994,0,0,209,38,69,26,20,22,0,0,0,0,0,0,0,0,0,0,384,"MSZP coalition with SZDSZ"
1998,0,0,134,17,24,48,148,0,14,0,0,0,0,0,0,0,1,0,386,"Fidesz govt with FKGP & MDF; parties ran separately"
2002,0,0,178,0,20,0,188,0,0,0,0,0,0,0,0,0,0,0,386,"Fidesz–MDF joint list (all seats under Fidesz)"
2006,0,0,190,0,20,0,164,0,0,0,0,0,0,0,0,0,0,0,374,"Fidesz–KDNP joint list (all seats under Fidesz)"
2010,0,0,59,0,0,0,227,36,0,47,16,0,0,0,0,0,1,0,386,"Fidesz–KDNP majority; Jobbik and LMP enter"
2014,0,0,0,0,0,0,117,16,0,23,5,0,0,0,0,0,0,0,200,"Opposition 'Unity' (MSZP+DK+E14/PM+MLP) 38 seats aggregated in Notes"
2018,0,0,20,0,0,0,117,16,0,26,8,9,0,5,0,0,0,0,202,"MSZP & PM partial joint lists; recorded by final groups"
2022,0,0,0,0,0,0,117,18,0,0,0,0,0,0,0,0,0,1,193,"United for Hungary opposition coalition 57 seats aggregated; Mi Hazánk 6 grouped in Notes"
