Acronym,NativeName,EnglishName,EconRating,SocialRating,EconCategory,SocialCategory,SocialCategoryExtended,Notes
MDP,Magyar Dolgozók Pártja,Hungarian Working People's Party,-10,8,Far Left,Far Right,Marxist–Leninist; one-party socialist state; strongly authoritarian,Dominant party 1949–1956 (People’s Front system)."
MSZMP,Magyar Szocialista Munkáspárt,Hungarian Socialist Workers' Party,-10,8,Far Left,Far Right,State-socialist; authoritarian,Ruling party 1956–1989 (Patriotic People's Front single-list elections)."
MSZP,Magyar Szocialista Párt,Hungarian Socialist Party,-3,-2,Left,Centre-Left,Social-democratic; liberal on civil rights,Major centre-left party after 1989."
MDF,Magyar Demokrata Fórum,Hungarian Democratic Forum,2,3,Centre-Right,Right,National-conservative; moderate market economics,Governing party 1990–1994."
SZDSZ,Szabad Demokraták Szövetsége,Alliance of Free Democrats,1,-6,Centre-Right,Left,Classical/market liberal; strongly libertarian on social issues,Key liberal party of the 1990s–2000s."
FKGP,"Független Kisgazda-, Földmunkás- és Polgári Párt","Independent Smallholders, Agrarian Workers and Civic Party",1,3,Centre-Right,Right,Agrarian-conservative; Christian democratic lean,Historic agrarian party; part of 1998 government."
Fidesz,Fidesz – Magyar Polgári Szövetség,Fidesz – Hungarian Civic Alliance,3,6,Right,Right,National-conservative; socially traditional; centralised state,Leading governing party since 2010 (with KDNP)."
KDNP,Kereszténydemokrata Néppárt,Christian Democratic People's Party,3,6,Right,Right,Christian democratic; socially conservative,Long-standing ally of Fidesz."
MIEP,Magyar Igazság és Élet Pártja,Hungarian Justice and Life Party,5,8,Right,Far Right,Nationalist; far-right; strongly authoritarian,Parliamentary representation in 1998–2002 term."
Jobbik,Jobbik Magyarországért Mozgalom,Jobbik – Movement for a Better Hungary,3,5,Right,Right,National-conservative; shifted from far-right roots toward conservative-populist,Underwent ideological moderation from late 2010s."
LMP,Lehet Más a Politika,Politics Can Be Different,-2,-4,Centre-Left,Left,Green; progressive; civil-liberties oriented,Green party established in 2009."
DK,Demokratikus Koalíció,Democratic Coalition,-2,-3,Centre-Left,Left,Liberal centre-left; pro-EU integration,Split from MSZP in 2011, led by Ferenc Gyurcsány."
Momentum,Momentum Mozgalom,Momentum Movement,0,-4,Centre,Left,Centrist liberal; progressive on social issues,Founded 2017; part of opposition alliances."
PM,Párbeszéd (Párbeszéd Magyarországért),Dialogue for Hungary,-3,-4,Left,Left,Green-left; progressive,Often allied with MSZP since 2014."
E14,Együtt 2014 / Együtt – a Korszakváltók Pártja,Together 2014 / Together – Party for the Renewal of the Era,0,-3,Centre,Left,Liberal-centrist; pro-European,Operated mainly in 2014 election cycle; later dissolved."
MLP,Magyar Liberális Párt,Hungarian Liberal Party,2,-6,Centre-Right,Left,Classical liberal; civil-libertarian,Small liberal party; part of 2014 alliance."
Independents,Független,Independents,0,0,Centre,Centre,Varies by individual; no unified platform,Non-party MPs; ideology varies."
German minority (MNOÖ),Magyarországi Németek Országos Önkormányzata,National Self-Government of Germans in Hungary,0,0,Centre,Centre,Minority representation body, not a political party,Holds a preferential minority seat in some terms."
