Acronym,NativeName,EnglishName,EconRating,SocialRating,EconCategory,SocialCategory,SocialCategoryExtended,Notes
FF,Fianna Fáil,Fianna Fáil – The Republican Party,2,1,Centre-Right,Centre-Right,"modérément conservateur, centristes-nationalistes",Centre à centre-droit; machine de gouvernement traditionnelle.
FG,Fine Gael,Fine Gael – The United Ireland Party,3,1,Right,Centre-Right,"conservatisme social modéré, pro‑UE",Centre‑droit libéral; pro‑marché.
LAB,Labour Party,Labour Party (Ireland),-3,-2,Left,Centre-Left,"social‑démocrate, libéral sur le plan sociétal",Social‑démocratie traditionnelle.
GP,Green Party,Green Party (Ireland),-3,-3,Left,Left,"écologiste, libéral‑progressiste",Écologie politique; pro‑UE.
SF,Sinn Féin,Sinn Féin,-4,-2,Left,Centre-Left,"gauche républicaine, progressiste",Gauche républicaine irlandaise; réunification irlandaise.
SF-WP,Sinn Féin – The Workers' Party,Sinn Féin – The Workers' Party,-7,-4,Far Left,Left,"gauche marxiste, laïque",Ancêtre du Parti des travailleurs.
PSF,Provisional Sinn Féin,Provisional Sinn Féin,-4,-1,Left,Centre-Left,gauche républicaine,Désignation historique dans les années 1970‑80.
WP,The Workers' Party,The Workers' Party (Ireland),-7,-4,Far Left,Left,"gauche marxiste, laïque",Succession de SF‑WP après scissions.
DL,Democratic Left,Democratic Left,-5,-3,Left,Left,gauche sociale‑démocrate,Fusionné avec le Labour en 1999.
PD,Progressive Democrats,Progressive Democrats,6,-1,Far Right,Centre-Left,"libéral‑économique, socialement libéral",Parti pro‑marché (1985–2009).
DSP,Democratic Socialist Party,Democratic Socialist Party (Ireland),-5,-3,Left,Left,socialiste démocratique,Petit parti des années 1980.
SP,Socialist Party,Socialist Party (Ireland),-8,-5,Far Left,Left,socialisme révolutionnaire,Tendance trotskyste.
PBP,People Before Profit,People Before Profit,-8,-6,Far Left,Far Left,"gauche radicale, antiaustérité",Alliance de la gauche radicale en Irlande.
AAA-PBP,Anti‑Austerity Alliance – People Before Profit,Anti‑Austerity Alliance – People Before Profit,-8,-6,Far Left,Far Left,"gauche radicale, antiaustérité",Libellé électoral utilisé en 2016.
S-PBP,Solidarity – People Before Profit,Solidarity – People Before Profit,-8,-6,Far Left,Far Left,"gauche radicale, antiaustérité",Libellé électoral utilisé en 2020.
SD,Social Democrats,Social Democrats (Ireland),-3,-2,Left,Centre-Left,"social‑démocrate, progressiste",Fondé en 2015.
I4C,Independents 4 Change,Independents 4 Change,-3,-2,Left,Centre-Left,"gauche réformatrice, hétérogène",Alliance d'indépendants de gauche.
AON,Aontú,Aontú,-1,5,Centre-Left,Right,"éco. centre‑gauche, socialement conservateur",Républicains sociaux‑conservateurs; pro‑vie.
CnaP,Clann na Poblachta,Clann na Poblachta,-2,-1,Centre-Left,Centre-Left,centre‑gauche républicain,Parti républicain (années 1940‑50).
CnaT,Clann na Talmhan,Clann na Talmhan,0,1,Centre,Centre-Right,"agrarien, conservatisme rural modéré",Parti paysan (années 1940‑50).
NLP,National Labour Party,National Labour Party (Ireland),-2,-1,Centre-Left,Centre-Left,social‑démocrate modéré,Scission du Labour (années 1940‑50).
NPD,National Progressive Democrats,National Progressive Democrats (Ireland),-2,-1,Centre-Left,Centre-Left,réformiste de centre‑gauche,Petit parti à Dublin (1960‑62).
AHB,Anti H‑Block,Anti H‑Block,-2,-1,Centre-Left,Centre-Left,"campagne républicaine, gauche",Bannières électorales 1981 liées aux prisonniers.
SLP,Socialist Labour Party,Socialist Labour Party (Ireland),-6,-4,Far Left,Left,gauche socialiste,Actif à la fin des années 1970.
IND,Independents,Independents,0,0,Centre,Centre,divers — varie selon l'élu,Position idéologique hétérogène; valeurs moyennes neutres.
