Year,DC,PCI,PDIUM,PSDI,PLI,PRI,PRI–Radical,MSI,PSI,LpT,PNM,BN,PCI–PSI–PdUP,PMP,FDP,DP,PdUP,PR,PSd'Az,US/PSLI,SVP,UV,VERDI,LN,VdA,LV,PDS,PRC,FI,AN,PPI,CCD,CDU,RI,DS,DL,IdV,UdC,PdL,MpA,PD,M5S,SEL,FdI,SC,CD,Lega,UDC,MAIE,USEI,SA/VdA,NcI–UDC,+Europa,Together,CP,SVP–PATT,LeU,NM,PD–IDP,A–IV,AVS,IC,Total,Notes
1948,305,0,0,0,0,9,0,6,0,0,14,19,0,0,184,0,0,0,1,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574,FDP (PCI+PSI) and National Bloc were coalition lists on the ballot; Wikipedia reports seats by list.
1953,263,143,0,19,13,5,0,29,75,0,40,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,"Chamber totals; parties ran both standalone and in coalitions (e.g., centrist coalition)."
1958,273,141,0,22,17,0,6,24,84,0,11,0,0,14,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596,"Two monarchist lists (PMP, PNM) ran separately; PRI ran with the Radicals on a joint list (seats shown for PRI–Radical)."
1963,260,166,8,33,39,6,0,27,87,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,Post-1963 fixed chamber size; PDIUM is the merged monarchist party.
1968,266,177,0,27,39,15,0,24,91,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,Official Chamber seats by party.
1972,266,179,0,29,20,15,0,56,61,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,Chamber seats by party; PSIUP lost representation.
1976,262,228,0,15,5,14,0,35,57,0,0,0,1,0,0,6,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,Includes a 1-seat joint list (PCI–PSI–PdUP).
1979,262,201,0,20,9,16,0,30,62,1,0,0,0,0,0,0,6,18,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,Chamber seats by party.
1983,225,198,0,23,16,29,0,42,73,0,0,0,0,0,0,7,0,11,1,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,"Regional seats include SVP (3), Aosta (1), PSd'Az (1), Liga Veneta (1)."
1987,234,177,0,17,11,21,0,35,94,0,0,0,0,0,0,8,0,13,2,0,3,0,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,Two seats for early Northern League lists; Greens enter with 13.
