Acronym,NativeName,EnglishName,EconRating,SocialRating,EconCategory,SocialCategory,SocialCategoryExtended,Notes
DC,Democrazia Cristiana,Christian Democracy,2,2,Centre-Right,Centre-Right,Démocrate‑chrétien centriste à centre‑droit,Parti dominant de la Première République.
PCI,Partito Comunista Italiano,Italian Communist Party,-9,-3,Far Left,Centre-Left,Eurocommuniste / socialiste,Évolution vers l'eurocommunisme dans les années 1970–80.
PSI,Partito Socialista Italiano,Italian Socialist Party,-4,-2,Left,Centre-Left,Social‑démocrate,
MSI,Movimento Sociale Italiano,Italian Social Movement,5,9,Right,Far Right,National‑conservateur / post‑fasciste,Héritier néo‑fasciste ; devint AN en 1995 (via AN).
PRI,Partito Repubblicano Italiano,Italian Republican Party,-1,-3,Centre-Left,Centre-Left,Libéral‑progressiste laïque,
PSDI,Partito Socialista Democratico Italiano,Italian Democratic Socialist Party,-3,-1,Centre-Left,Centre-Left,Social‑démocrate modéré,
PLI,Partito Liberale Italiano,Italian Liberal Party,3,1,Centre-Right,Centre-Right,Libéral conservateur,
PR,Partito Radicale,Radical Party,1,-9,Centre-Right,Far Left,Libéral‑libertaire (droits civiques),"Fortement pro‑libertés civiles, laïcité."
DP,Democrazia Proletaria,Proletarian Democracy,-8,-4,Far Left,Left,Extrême gauche,
VERDI,Federazione dei Verdi,Federation of Green Lists (Greens),-4,-5,Left,Left,Écologiste gauche,
LN,Lega Nord,Northern League / League,3,6,Centre-Right,Right,Régionaliste / conservateur,Évolue ensuite vers une droite nationale (Lega).
SVP,Südtiroler Volkspartei,South Tyrolean People's Party,0,1,Centre,Centre-Right,Régionaliste centriste,Minorité germanophone du Tyrol du Sud.
UV,Union Valdôtaine,Valdostan Union,0,1,Centre,Centre-Right,Régionaliste centriste,
PSd'Az,Partito Sardo d'Azione,Sardinian Action Party,-1,0,Centre-Left,Centre,Régionaliste autonomiste,
LV,Liga Veneta,Liga Veneta,2,4,Centre-Right,Right,Régionaliste conservateur,Composante vénète de la Ligue.
PDS,Partito Democratico della Sinistra,Democratic Party of the Left,-4,-2,Left,Centre-Left,Centre‑gauche social‑démocrate,Successeur du PCI (1991).
PRC,Partito della Rifondazione Comunista,Communist Refoundation Party,-9,-3,Far Left,Centre-Left,Extrême gauche communiste,
FI,Forza Italia,Forza Italia,4,3,Right,Centre-Right,Libéral‑conservateur,
AN,Alleanza Nazionale,National Alliance,4,6,Right,Right,Conservateur national,Successeur post‑MSI.
PPI,Partito Popolare Italiano,Italian People's Party,1,2,Centre-Right,Centre-Right,Démocrate‑chrétien centriste,
CCD,Centro Cristiano Democratico,Christian Democratic Centre,2,3,Centre-Right,Centre-Right,Centre‑droit démocrate‑chrétien,
CDU,Cristiani Democratici Uniti,United Christian Democrats,2,3,Centre-Right,Centre-Right,Centre‑droit démocrate‑chrétien,
RI,Rinnovamento Italiano,Italian Renewal,1,-1,Centre-Right,Centre-Left,Libéral‑centriste,
DS,Democratici di Sinistra,Democrats of the Left,-3,-2,Centre-Left,Centre-Left,Centre‑gauche,"Fusion PDS et alliés, avant PD."
DL,La Margherita (Democrazia è Libertà – La Margherita),Democracy is Freedom – The Daisy,0,-1,Centre,Centre-Left,Centriste pro‑UE,
IdV,Italia dei Valori,Italy of Values,-1,-1,Centre-Left,Centre-Left,Populisme civique centriste,Anti‑corruption de Di Pietro.
UdC,Unione di Centro,Union of the Centre (UDC),2,3,Centre-Right,Centre-Right,Centre‑droit démocrate‑chrétien,
PdL,Popolo della Libertà,The People of Freedom,4,4,Right,Right,Droite conservatrice,Bloc FI + AN (2009–2013).
MpA,Movimento per l'Autonomia,Movement for Autonomy,1,2,Centre-Right,Centre-Right,Régionaliste centre‑droit,Sicile principalement.
PD,Partito Democratico,Democratic Party (Italy),-2,-2,Centre-Left,Centre-Left,Centre‑gauche pro‑UE,
M5S,Movimento 5 Stelle,Five Star Movement,0,-2,Centre,Centre-Left,"Syncrétique, populisme civique",Positions variables selon périodes.
SEL,Sinistra Ecologia Libertà,Left Ecology Freedom,-5,-4,Left,Left,Gauche écologiste,
FdI,Fratelli d'Italia,Brothers of Italy,4,7,Right,Far Right,Droite nationale‑conservatrice,
SC,Scelta Civica,Civic Choice,1,-1,Centre-Right,Centre-Left,Libéral‑centriste pro‑UE,
CD,Centro Democratico,Democratic Centre,0,0,Centre,Centre,Centre,
MAIE,Movimento Associativo Italiani all'Estero,Associative Movement of Italians Abroad,0,0,Centre,Centre,Représentation des expatriés,Listes extérieures.
USEI,Unione Sudamericana Emigrati Italiani,South American Union of Italian Emigrants,0,0,Centre,Centre,Représentation des expatriés,
SA,Stella Alpina,Edelweiss (Stella Alpina),1,2,Centre-Right,Centre-Right,Régionaliste centre‑droit,Vallée d'Aoste.
VdA,Valle d'Aosta (liste regionali),Aosta Valley regional lists,0,1,Centre,Centre-Right,Régionaliste centriste,"Regroupe UV, SA, etc. selon année."
UVP,Union Valdôtaine Progressiste,Progressive Valdostan Union,-1,-1,Centre-Left,Centre-Left,Régionaliste centre‑gauche,
FA,Autonomie Liberté Démocratie (Valle d'Aosta),Autonomy Freedom (Aosta Valley),0,1,Centre,Centre-Right,Régionaliste centriste,
NM,Noi Moderati,Us Moderates,2,3,Centre-Right,Centre-Right,Centre‑droit,
PD–IDP,Partito Democratico – Italia Democratica e Progressista,Democratic Party – Democratic and Progressive Italy,-2,-2,Centre-Left,Centre-Left,Centre‑gauche,Étiquette électorale 2022 autour du PD.
A–IV,Azione – Italia Viva,Action – Italia Viva,1,-1,Centre-Right,Centre-Left,Libéral‑centriste,
AVS,Alleanza Verdi e Sinistra,Greens and Left Alliance,-5,-4,Left,Left,Gauche écologiste,
+Europa,+Europa,More Europe (+Europe),1,-4,Centre-Right,Left,"Libéral pro‑UE, sociétalement progressiste",
IC,Impegno Civico,Civic Commitment,0,-1,Centre,Centre-Left,Centre pro‑UE,
PATT,Partito Autonomista Trentino Tirolese,Trentino Tyrolean Autonomist Party,0,1,Centre,Centre-Right,Régionaliste centriste,
LpT,Lista per Trieste,List for Trieste,0,1,Centre,Centre-Right,Régionaliste centriste,
