Year,AP,AS,DCP,DPS,FGL,ForHRUL,HARMONY,JKP,JL,JP,JV,KPV_LV,LC,LKDS,LNNK,LPP,LPP_LC,LPV,LRA,LSDA,LSP,LT,LVP,LZS,LZS_LKDS_LDP,NA,NKP_ZP,NSL,PRO,REFORM,SC,SL,ST,TB,TB_LNNK,TKL,TP,TSP,UNITY,ZZS,Total,Notes
1993,0,0,5,0,0,0,0,0,0,0,0,0,36,6,15,0,0,0,0,0,0,7,0,12,0,0,0,0,0,0,0,13,0,6,0,0,0,0,0,0,100,5th Saeima; first post-independence multi‑party election.
1995,0,0,0,18,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,5,0,8,0,8,0,6,0,0,0,0,0,0,14,0,16,0,6,0,0,100,"6th Saeima; highly fragmented parliament, many new parties."
1998,0,0,0,0,0,0,0,0,0,8,0,0,21,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,24,16,0,0,100,7th Saeima; People's Party (TP) becomes largest party.
2002,0,0,0,0,0,25,0,0,26,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,20,0,0,12,100,8th Saeima; New Era (JL) landslide; Latvia's Way loses all seats.
2006,0,0,0,0,0,6,0,0,18,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,8,0,23,0,0,18,100,9th Saeima; centre‑right government re‑elected.
2010,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,29,0,0,0,0,0,0,0,33,22,100,10th Saeima; Unity (centre‑right alliance) forms government.
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,22,31,0,0,0,0,0,0,0,20,13,100,11th Saeima; early election after presidential dissolution referendum.
2014,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,17,0,7,0,0,0,0,0,0,0,0,0,0,23,21,100,"12th Saeima; Harmony largest, but centre‑right coalition continues."
2018,13,0,0,0,0,0,23,16,0,0,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,11,100,"13th Saeima; highly fragmented result, new parties KPV LV and JKP surge."
2022,0,15,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,9,0,0,0,0,0,0,0,13,0,0,10,0,0,0,11,0,0,0,0,0,0,16,100,"14th Saeima; New Unity (JV) wins, strong pro‑EU/pro‑Ukraine mandate."
