Acronym,NativeName,EnglishName,EconRating,SocialRating,EconCategory,SocialCategory,SocialCategoryExtended,Notes
AP,Attīstībai/Par!,Development/For!,2,-5,Centre-Right,Left,"social-liberal, pro‑EU, economically liberal","Liberal alliance combining Movement For!, For Latvia's Development and Izaugsme; centrist to centre-right economics with progressive social policy."
AS,Apvienotais saraksts,United List,2,2,Centre-Right,Centre-Right,"regionalist, green‑conservative, mildly traditionalist","Alliance built around regional parties and former ZZS figures; centrist to centre-right, green‑conservative profile."
DCP,Demokrātiskā centra partija,Democratic Center Party,0,0,Centre,Centre,"moderate, centrist, pragmatic",Small centrist party represented in 1993 Saeima; broadly moderate on both economic and social issues.
DPS,"Demokrātiskā partija ""Saimnieks""","Democratic Party ""Saimnieks""",-1,0,Centre,Centre,"big‑tent, mildly centre‑left populist",Populist catch‑all party of the mid‑1990s with moderate interventionist leanings but not clearly ideological.
FGL,Par labu Latviju!,For a Good Latvia,4,2,Right,Centre-Right,"business‑friendly, conservative‑leaning","Electoral alliance of several parties including TP and LPP/LC; pro‑business, oligarch‑linked centre‑right bloc."
ForHRUL,Par cilvēka tiesībām vienotā Latvijā,For Human Rights in a United Latvia,-6,-7,Left,Far Left,"minority‑rights, civil‑liberties oriented, pro‑Russian minority","Alliance of TSP, LSP and Equal Rights; left‑wing, strongly focused on Russian‑speaking minority rights."
HARMONY,"Sociāldemokrātiskā partija ""Saskaņa""","Social Democratic Party ""Harmony""",-4,-2,Centre-Left,Centre-Left,"social‑democratic, minority‑rights, moderately socially liberal",Main Russophone‑backed social‑democratic party; part of the European centre‑left family.
JKP,Jaunā konservatīvā partija,New Conservative Party,3,4,Centre-Right,Right,"conservative, anti‑corruption, law‑and‑order",Right‑leaning anti‑corruption party; economically market‑oriented with fairly conservative social positions.
JL,Jaunais laiks,New Era Party,3,2,Centre-Right,Centre-Right,"liberal‑conservative, pro‑EU, anti‑corruption","Centre‑right reformist party later merged into Unity; pro‑market, pro‑European."
JP,Jaunā Partija,New Party,0,0,Centre,Centre,"centrist, personalist",Centrist party built around Raimonds Pauls; ideologically moderate and personality‑driven.
JV,Jaunā Vienotība,New Unity,3,1,Centre-Right,Centre,"liberal‑conservative, pro‑EU, civic‑national","Alliance led by Unity; liberal‑conservative, pro‑NATO/EU, fiscally cautious."
KPV_LV,Kam pieder valsts?,Who Owns the State?,1,5,Centre,Right,"right‑wing populist, anti‑establishment, socially conservative",Anti‑establishment populist party later rebranded as For a Humane Latvia; economically mixed but socially conservative.
LC,Latvijas Ceļš,Latvian Way,3,0,Centre-Right,Centre,"liberal, pro‑market, pro‑European","Key liberal party of the 1990s; market‑oriented reforms, strongly pro‑EU and pro‑NATO."
LKDS,Kristīgi demokrātiskā savienība,Christian Democratic Union,3,4,Centre-Right,Right,"Christian‑democratic, socially conservative, pro‑family",Christian‑democratic party stressing social market economy and traditional values.
LNNK,Latvijas Nacionālās neatkarības kustība,Latvian National Independence Movement,4,5,Right,Right,"national‑conservative, anti‑Soviet, culturally conservative",National‑conservative force of early 1990s; later linked with TB in TB/LNNK.
LPP,Latvijas Pirmā partija,Latvia's First Party,3,6,Centre-Right,Far Right,"Christian‑conservative, socially traditionalist",Christian‑oriented party known for strong opposition to LGBT rights and emphasis on Christian values.
LPP_LC,Latvijas Pirmā partija/Latvijas Ceļš,Latvia's First Party/Latvian Way,3,5,Centre-Right,Right,mix of liberal economics and Christian‑conservative social policy,Alliance combining economically liberal LC with socially conservative LPP; centrist‑right overall.
LRA,Latvijas Reģionu apvienība,Latvian Association of Regions,0,1,Centre,Centre,"centrist, regionalist, mildly conservative","Regionalist centrist party; pragmatic on economics, moderate on social issues."
LSDA,Latvijas Sociāldemokrātu apvienība,Latvian Social Democratic Alliance,-4,-2,Centre-Left,Centre-Left,"social‑democratic, moderate progressive",Small social‑democratic formation; traditional European centre‑left profile.
LSP,Latvijas Sociālistiskā partija,Socialist Party of Latvia,-8,-1,Far Left,Centre-Left,"communist‑rooted, pro‑Russian, socially relatively traditional",Post‑communist socialist party with Marxist‑Leninist legacy and strong support among Russian‑speakers.
LT,Līdztiesība,Equal Rights,-5,-5,Left,Left,"left‑wing, minority‑rights, civil‑liberties",Primarily Russophone left party advocating broader citizenship and language rights.
LVP,Latvijas Vienības partija,Latvian Unity Party,-2,1,Centre-Left,Centre,"agrarian‑populist, mildly left‑leaning economically","Populist, somewhat agrarian party of mid‑1990s; soft economic leftism with moderate social views."
LPV,Latvija pirmajā vietā,Latvia First,2,6,Centre-Right,Far Right,"right‑wing populist, socially conservative, nationalist","Populist right party led by Ainārs Šlesers; nationalist, conservative on social issues."
