Year,DK,DP,DP-Youth,DSVL,IND,JL,KDS,LCP-LPP,LCS,LDDP,LDP,LKDP,LKDP-LPKTS-LDP,LKDS-LTJS,LKP,LKP (independent),LLRA,LLRA-KŠS,LLS,LMP,LP,LPA,LPKTS,LS,LSDDP,LSDP,LSDP-NS,LTS-LDP,LTS-NP,LVLS,LVP,LVŽS,LiCS,LŽP,MKD,NKS,NS,PLT,PPNA,SDK,Sąjūdis,TPP,TS,TS-LKD,TT,VNDPS,ZPL,Total,Notes
1990,0,0,0,0,64,0,0,0,0,0,3,2,0,0,7,46,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,141,Supreme Soviet election; first free multi-party election since 1926. 6 seats initially vacant.
1992,0,0,0,0,1,0,0,0,2,73,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,4,141,First Seimas elected after restoration of independence.
1996,0,0,0,0,4,1,1,0,14,12,0,16,0,0,0,0,3,0,1,1,0,1,1,0,0,12,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,141,Centre-right Homeland Union victory.
2000,0,0,0,0,3,1,1,0,2,0,0,2,0,0,0,0,2,0,35,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,29,0,0,51,0,0,9,0,0,0,0,141,Social Democratic coalition (SDK) plurality; two different parties with acronym LLS combined.
2004,0,39,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,25,0,10,10,0,141,Labour Party (DP) largest list; LSDP-NS is a joint list.
2008,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,0,25,0,0,0,3,0,0,8,0,0,0,1,0,0,0,0,16,0,45,15,0,0,141,Centre-right TS-LKD becomes largest party.
2012,7,29,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,10,0,38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33,11,0,0,141,LSDP-led coalition; one seat apparently vacant or filled later (party totals sum to 140).
2016,0,2,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,15,0,17,0,0,0,0,0,54,0,1,0,0,0,0,0,0,0,0,0,31,8,0,0,141,LVŽS wins a landslide; LS seats combined from two list variants.
2020,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0,13,3,13,0,0,0,0,0,32,0,1,0,0,0,1,0,0,0,0,0,50,0,0,0,141,Centre-right TS-LKD victory; new liberal LP enters parliament.
2024,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12,0,52,0,0,0,0,0,8,0,0,0,0,1,1,20,0,0,0,0,28,0,0,0,141,Strong victory for LSDP; new protest party PPNA enters.
