Acronym,NativeName,EnglishName,EconRating,SocialRating,EconCategory,SocialCategory,SocialCategoryExtended,Notes
LKP (independent),"Lietuvos komunistų partija (LKP, nepriklausoma)",Communist Party of Lithuania (independent),-9,4,Far Left,Right,"Hardline communist legacy; authoritarian, socially conservative.",Post-1990 independent wing of the former communist party; staunchly statist.
LKP,Lietuvos komunistų partija,Communist Party of Lithuania,-10,5,Far Left,Right,"State-socialist, authoritarian; conservative on social and national issues.",Soviet-era ruling party; successor to CPSU structures in Lithuania.
LSDP,Lietuvos socialdemokratų partija,Social Democratic Party of Lithuania,-3,-2,Left,Centre-Left,"Mainstream social-democratic, pro‑EU, socially liberal to moderate.",Major centre-Left party; PES member; mixes welfare state with pragmatic centrism.
LŽP,Lietuvos žaliųjų partija,Lithuanian Green Party,-3,-3,Left,Left,"Green, environmentalist, socially liberal.","Small green party; eco‑social priorities, broadly progressive."
LDDP,Lietuvos demokratinė darbo partija,Democratic Labour Party of Lithuania,-2,1,Centre-Left,Centre-Right,"Post‑communist social democracy with pragmatic, mildly conservative social stance.",Successor to communist party; later merged into LSDP.
LDP,Lietuvos demokratų partija,Lithuanian Democratic Party,1,2,Centre-Right,Centre-Right,Small centrist‑to‑conservative democratic party.,Minor party; broadly pro‑market and moderate conservative.
LKDP,Lietuvos krikščionių demokratų partija,Lithuanian Christian Democratic Party,2,4,Centre-Right,Right,"Christian‑democratic, socially conservative, pro‑market.",Historic Christian‑democratic force; later folded into TS‑LKD family.
Sąjūdis,Lietuvos Persitvarkymo Sąjūdis,Reform Movement of Lithuania (Sąjūdis),1,-1,Centre-Right,Centre-Left,"Broad pro‑independence umbrella; mix of liberal, national‑conservative currents.",Mass movement that led independence; ideologically heterogeneous but broadly democratic.
TS,Tėvynės sąjunga,Homeland Union,3,3,Right,Right,"National‑conservative, Christian‑democratic, economically liberal.",Precursor label of TS‑LKD; mainstream Right.
TS-LKD,Tėvynės sąjunga – Lietuvos krikščionys demokratai,Homeland Union – Lithuanian Christian Democrats,3,3,Right,Right,"Centre‑right liberal‑conservative, pro‑EU, socially conservative on many issues.",Main conservative party; EPP family; mixes market liberalism with Christian‑democratic values.
LVŽS,Lietuvos valstiečių ir žaliųjų sąjunga,Lithuanian Farmers and Greens Union,-3,5,Left,Right,"Left‑populist, agrarian, socially conservative, Christian‑influenced.",Agrarian‑green party; economically redistributive and socially traditionalist.
DP,Darbo partija,Labour Party,-2,1,Centre-Left,Centre-Right,"Populist social‑democratic, somewhat socially moderate.","Personalist, welfare‑oriented party; left‑of‑centre economics with eclectic populism."
DP-Youth,Darbo partija (jaunimo sąrašas),Labour Party – Youth List,-2,0,Centre-Left,Centre,Youth‑focused offshoot of Labour; slightly more socially liberal.,Electoral list associated with DP targeting younger voters.
LSDP-NS,LSDP–NS koalicija,LSDP – New Union coalition,-3,-1,Left,Centre-Left,Broad centre‑left social‑liberal coalition.,Electoral alliance of Social Democrats and New Union (social liberals).
KDS,Krikščionių demokratų sąjunga,Christian Democratic Union,2,4,Centre-Right,Right,"Christian‑democratic, socially conservative.","Small Christian‑democratic party; traditional values, moderate market‑oriented economics."
