Year,CSV,LSAP,DP,KPL,MIP,SDP,ZEF,SI,GRENG,GLEI,ADR,DL,PPLU,Total,Notes
1951,21,19,8,4,0,0,0,0,0,0,0,0,0,52,CSV-led government; post-war consolidation.
1954,26,17,6,3,0,0,0,0,0,0,0,0,0,52,CSV retains dominance.
1959,21,17,11,3,0,0,0,0,0,0,0,0,0,52,CSV remains largest; centre-right continuity.
1964,22,21,6,5,2,0,0,0,0,0,0,0,0,56,CSV–LSAP grand-coalition era; MIP enters with 2 seats.
1968,21,18,11,6,0,0,0,0,0,0,0,0,0,56,Early election; CSV remains largest.
1974,18,17,14,5,5,0,0,0,0,0,0,0,0,59,LSAP–DP coalition replaces CSV; rise of SDP and KPL.
1979,24,14,15,2,0,2,1,1,0,0,0,0,0,59,"CSV–DP centre-right coalition; small parties (SDP, KPL, Z-EF, SI) present."
1984,25,21,14,2,0,0,0,0,2,0,0,0,0,64,House expanded to 64 seats; CSV–LSAP coalition; Greens and KPL represented.
1989,22,18,11,1,0,0,0,0,2,2,4,0,0,60,"Multiple left-ecologist lists (GRENG, GLEI); ADR enters parliament."
1994,21,17,12,0,0,0,0,0,5,0,5,0,0,60,CSV–LSAP coalition continues; Greens and ADR both gain 5 seats.
1999,19,13,15,0,0,0,0,0,5,0,7,1,0,60,CSV–DP 'Blue-Black' coalition; ADR and Greens strengthened; The Left enters.
2004,24,14,10,0,0,0,0,0,7,0,5,0,0,60,CSV–LSAP coalition; ADR and Greens maintain presence.
2009,26,13,9,0,0,0,0,0,7,0,4,1,0,60,CSV–LSAP coalition continues; The Left holds one seat.
2013,23,13,13,0,0,0,0,0,6,0,3,2,0,60,Snap election after secret-service affair; first Bettel government (DP–LSAP–GRENG).
2018,21,10,12,0,0,0,0,0,9,0,4,2,2,60,Bettel II coalition (DP–LSAP–GRENG); Pirates (PPLU) enter with 2 seats.
2023,21,11,14,0,0,0,0,0,4,0,5,2,3,60,CSV returns to government with DP; prior 'Gambia' coalition loses majority.
