Year,PN,PL,MWP,CP,DAP,IND,CWP,DNP,PCP,PD,Total,Notes
1950,12,11,11,4,1,1,0,0,0,0,40,First post‑1949 election; fragmented parliament incl. Malta Workers' Party & Constitutional Party.
1951,15,14,7,4,0,0,0,0,0,0,40,Short‑lived PN–MWP coalition; four parties represented.
1953,18,19,3,0,0,0,0,0,0,0,40,"Three‑party parliament (PL, PN, MWP) before smaller parties disappear."
1955,17,23,0,0,0,0,0,0,0,0,40,Labour majority; last multi‑party election before 1962.
1962,26,16,0,0,0,0,4,3,1,0,50,"Multi‑party election incl. Christian Workers' Party (CWP), Democratic Nationalist Party (DNP), Progressive Constitutional Party (PCP)."
1966,28,22,0,0,0,0,0,0,0,0,50,Start of stable two‑party system (PN vs PL).
1971,26,29,0,0,0,0,0,0,0,0,55,PL wins majority; independence era politics consolidating.
1976,31,34,0,0,0,0,0,0,0,0,65,"Two‑party parliament (PL, PN)."
1981,31,34,0,0,0,0,0,0,0,0,65,Controversial result: PL majority of seats with minority of votes.
1987,35,34,0,0,0,0,0,0,0,0,69,"First election with proportionality bonus seats; PN 35, PL 34 (69‑seat House)."
1992,34,31,0,0,0,0,0,0,0,0,65,PN majority.
1996,34,35,0,0,0,0,0,0,0,0,69,PL returns to government; corrected to 69 seats for proportionality.
1998,35,30,0,0,0,0,0,0,0,0,65,PN regains majority after early election.
2003,35,30,0,0,0,0,0,0,0,0,65,PN majority; EU accession context.
2008,35,34,0,0,0,0,0,0,0,0,69,Very narrow PN majority; additional seats awarded for proportionality.
2013,30,39,0,0,0,0,0,0,0,0,69,PL landslide victory; PN receives 2 extra seats via proportionality mechanism.
2017,28,37,0,0,0,0,0,0,0,2,67,"PL majority; Forza Nazzjonali coalition: PN 28, PD 2 (67‑seat House)."
2022,35,44,0,0,0,0,0,0,0,0,79,PL third consecutive win; total includes 2 proportionality seats and 12 gender‑corrective seats (79 MPs).
