Acronym,NativeName,EnglishName,EconRating,SocialRating,EconCategory,SocialCategory,SocialCategoryExtended,Notes
PN,Partit Nazzjonalista,Nationalist Party,3,2,Right,Centre-Right,"Christian-democratic, liberal-conservative, pro-EU; historically clerical but increasingly socially liberal.","Main centre-right party; member of EPP/CDI, rooted in Catholic conservatism with gradual liberalisation."
PL,Partit Laburista,Labour Party (Malta),-3,-1,Left,Centre-Left,"Social-democratic, historically democratic-socialist; mix of progressive and communitarian/populist tendencies.",Dominant centre-left party; from old socialist/anti-colonial roots to Third Way-style pro-business social democracy.
MWP,Partit tal-Ħaddiema,Malta Workers’ Party,2,2,Centre-Right,Centre-Right,"Moderate conservative, pro-British, anti-communist; Catholic-leaning establishment party.","Split from Labour; backed economic austerity, industrial development and cooperation with UK authorities."
CP,Partit Kostituzzjonali,Constitutional Party,3,3,Right,Right,"Pro-British, monarchist, socially conservative, closely aligned with Catholic establishment.",Interwar and post-war pro-integration party; progressive-conservative economically but socially traditional.
DAP,Partit ta’ L-Azzjoni Demokratika,Democratic Action Party,4,4,Right,Right,"Conservative, pro-landowner interests, strongly deferential to Church and hostile to egalitarian reforms.",Revived Maltese Political Union representing landowners and professionals; opposed economic and social reforms.
IND,Indipendenti,Independents,0,0,Centre,Centre,No fixed ideology; positions vary from conservative to progressive depending on individual MP.,Catch-all category for non‑party MPs (rare in Malta); ideology too heterogeneous for a precise placement.
CWP,Partit tal-Ħaddiema Nsara,Christian Workers’ Party,0,4,Centre,Right,"Christian‑democratic, strongly Catholic, anti-communist; socially conservative but with some welfare rhetoric.",Church-backed split from Labour during politico‑religious crisis; aimed at Catholic working‑class voters alienated from Mintoff.
DNP,Partit Demokratiku Nazzjonalista,Democratic Nationalist Party,2,3,Centre-Right,Right,"Christian‑democratic, Catholic, mildly reformist economically with emphasis on social welfare and autonomy.",Right‑wing split from PN; favoured cooperation with British authorities plus social welfare and dominion-style independence.
PCP,Partit Progressiv Kostituzzjonali,Progressive Constitutional Party,2,4,Centre-Right,Right,"Monarchist, Catholic, anti-communist; socially conservative with moderate economic modernisation.","Strickland’s successor party; loyal to Crown and Church, favoured dominion status over full integration or republicanism."
PD,Partit Demokratiku,Democratic Party (Malta),-2,-3,Centre-Left,Left,"Social‑liberal, green‑liberal, broadly progressive on civil rights and governance.","Short‑lived centrist/centre‑left third party; pro‑EU, anti‑corruption, later merged into green alliance AD+PD."
