Year,PvdA,KVP,ARP,CHU,CDA,VVD,D66,CPN,PSP,PPR,EVP,GL,GL_PvdA,SP,PvdD,DENK,BIJ1,PVV,FvD,Volt,JA21,BBB,NSC,SGP,GPV,RPF,CU,DS70,BP,NMP,CP,CD,LPF,LN,AOV,Unie55,50PLUS,Total,Notes
1952,30,30,12,9,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,"Pre-CDA pillarised party system (PvdA/KVP/ARP/CHU/CPN/VVD/SGP)"
1956,50,49,15,13,0,13,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,150,"Tweede Kamer increased from 100 to 150 seats in 1956; post-expansion distribution"
1959,48,49,14,12,0,19,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,150,"Consolidation of confessional parties; pre-D66"
1963,43,50,13,13,0,17,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,150,"Pre-1967, before D66 enters"
1967,37,42,15,12,0,16,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,150,"First election with D66 and GPV presence"
1971,39,35,13,10,0,22,11,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,8,3,0,0,0,0,0,0,0,0,150,"Entry of DS’70 and PPR; PSP + CPN still in parliament"
1972,43,27,14,7,0,28,6,7,2,7,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,6,3,0,0,0,0,0,0,0,0,150,"Polarised left; PvdA peak; CPN+PSP+PPR still separate"
1977,53,0,0,0,49,26,8,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,1,7,0,0,0,0,0,0,0,0,150,"CDA formed (KVP+ARP+CHU); DS’70 fading; first CDA–VVD ‘right’ coalition"
1981,44,0,0,0,48,36,17,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,7,2,0,0,0,0,0,0,0,150,"Many medium parties (PvdA,CDA,VVD,D66,PPR,PSP,CPN,DS’70)"
1982,47,0,0,0,45,27,6,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,1,1,0,0,0,0,0,0,0,0,150,"Start of Lubbers era; EVP enters (1 seat) and quickly disappears again"
1986,52,0,0,0,54,22,9,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,3,0,0,0,0,0,0,0,0,150,"CDA high point; left micro-parties nearly gone"
1989,49,0,0,0,54,22,12,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,3,0,0,0,0,0,0,0,0,150,"Creation of GroenLinks from CPN+PSP+PPR+EVP"
1994,37,0,0,0,34,31,24,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,6,1,2,150,"‘Purple’ I coalition (PvdA–VVD–D66); AOV & CD present"
1998,45,0,0,0,29,38,14,0,0,0,0,11,0,5,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,150,"‘Purple’ II; GL and SP both grow"
2002,23,0,0,0,43,24,7,0,0,0,0,10,0,9,0,0,0,0,0,0,0,0,2,0,0,4,2,26,2,0,0,0,0,0,0,0,0,150,"Fortuyn election; LPF (26) and LN (2) surge; CDA returns as largest party"
2003,42,0,0,0,44,28,6,0,0,0,0,8,0,9,0,0,0,0,0,0,0,0,2,0,0,3,8,0,0,0,0,0,0,0,0,0,0,150,"Post-Fortuyn correction; LPF collapses from 26 to 8 seats"
2006,33,0,0,0,41,22,3,0,0,0,0,7,0,25,0,0,0,9,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,150,"SP surge (25 seats); PVV enters with 9; CU grows to 6"
2010,30,0,0,0,21,31,10,0,0,0,0,10,0,15,2,0,0,24,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,150,"Rutte I: VVD (31) becomes biggest; PVV (24) supports minority coalition"
2012,38,0,0,0,13,41,12,0,0,0,0,4,0,15,2,3,0,15,0,0,0,0,3,0,0,5,0,0,0,0,0,0,2,0,0,0,4,150,"Rutte II: VVD–PvdA; PVV loses seats; PvdD and 50PLUS gain"
2017,9,0,0,0,19,33,19,0,0,0,0,14,0,14,5,3,1,20,2,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,150,"Highly fragmented: 13 parties; PVV 20, GL 14, D66 19, SP 14, CU 5, PvdD 5, FvD 2, DENK 3, 50PLUS 4"
2021,9,0,0,0,15,34,24,0,0,0,0,8,0,9,6,3,0,17,8,3,3,1,7,0,3,0,0,0,0,0,0,0,0,0,0,0,1,150,"Rutte IV: VVD 34, D66 24, PVV 17, CDA 15, SP 9, GL 8, PvdA 9, CU 5, PvdD 6, SGP 3, DENK 3, Volt 3, JA21 3, FvD 5? (approx.), 50PLUS 1, BBB 1, BIJ1 1"
2023,0,0,0,0,5,24,9,0,0,0,0,0,25,5,3,0,37,3,2,1,7,20,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,150,"Wilders shock win: PVV 37; GL-PvdA joint list 25; NSC 20; VVD 24; D66 9; BBB 7; SP 5; PvdD 3; CU 3; SGP 3; DENK 3; Volt 2; JA21 1; FvD 3; 50PLUS 0; BIJ1 0"
