Acronym,NativeName,EnglishName,EconRating,SocialRating,EconCategory,SocialCategory,SocialCategoryExtended,Notes
PvdA,Partij van de Arbeid,Labour Party (Netherlands),-3,-2,Centre-left,Centre-left,"social-democratic, progressive","Traditional workers' and welfare-state party; now runs on a joint list with GroenLinks as GL/PvdA."
KVP,Katholieke Volkspartij,Catholic People's Party,1,3,Centre-right,Centre-right,"Christian-democratic, socially conservative","Historic Catholic pillar party; one of the three predecessors of the CDA."
ARP,Anti-Revolutionaire Partij,Anti-Revolutionary Party,1,5,Centre-right,Right,"orthodox Calvinist, conservative","Historical Protestant Calvinist party; strongly Christian and socially conservative; merged into CDA."
CHU,Christelijk-Historische Unie,Christian Historical Union,2,5,Centre-right,Right,"Protestant conservative, monarchist","Conservative Protestant party; Christian-historical orientation; merged into CDA."
CDA,Christen-Democratisch Appèl,Christian Democratic Appeal,2,3,Centre-right,Centre-right,"Christian-democratic, communitarian, moderately conservative","Centrist-to-centre-right Christian-democratic catch-all party; stresses stewardship, solidarity and 'norms and values'."
VVD,Volkspartij voor Vrijheid en Democratie,People's Party for Freedom and Democracy,4,1,Right,Centre-right,"liberal-conservative, pro-market","Main right-liberal party; pro-business, lower taxes, law-and-order, somewhat stricter on migration."
D66,Democraten 66,Democrats 66,-1,-5,Centre-left,Left,"social-liberal, pro-EU, progressive","Liberal-progressive party; strongly pro-European, pro-civil liberties, socially liberal and reformist."
CPN,Communistische Partij Nederland,Communist Party of the Netherlands,-9,-3,Far Left,Centre-left,"communist, formerly Marxist-Leninist then Eurocommunist","Historic communist party; revolutionary socialist roots, later more Eurocommunist and reformist."
PSP,Pacifistisch Socialistische Partij,Pacifist Socialist Party,-7,-7,Left,Left,"pacifist, libertarian socialist, radical progressive","Far-left pacifist-socialist party; anti-NATO, anti-nuclear, strong on peace and civil liberties."
PPR,Politieke Partij Radikalen,Political Party of Radicals,-6,-6,Left,Left,"Christian left, green, post-materialist","Christian-left/green party; early eco-politics, grassroots democracy, later key predecessor of GroenLinks."
EVP,Evangelische Volkspartij,Evangelical People's Party,-3,-1,Centre-left,Centre-left,"progressive Christian, socially liberal","Evangelical Christian-left party; combined Christian inspiration with green, peace and social-justice themes; later merged into GroenLinks."
GL,GroenLinks,GreenLeft,-5,-6,Left,Left,"green, progressive, eco-social","Green-left party combining environmentalism and social democracy; very progressive on social issues and civil rights."
GL_PvdA,GroenLinks–PvdA,GreenLeft–Labour alliance,-4,-4,Left,Left,"broad centre-left, green social-democratic","Electoral alliance of GroenLinks and PvdA; aims at combining green politics with social-democratic redistribution."
SP,Socialistische Partij,Socialist Party,-6,1,Left,Centre-right,"old-left, welfare-statist, culturally somewhat conservative","Left-socialist / left-populist party; very redistributionist and anti-privatisation but more traditional on some cultural and migration issues."
PvdD,Partij voor de Dieren,Party for the Animals,-5,-6,Left,Left,"eco-socialist, animal-rights, progressive","Animal-rights and eco-socialist party; progressive on climate, environment and social issues."
DENK,Denk,DENK (Think),-4,1,Left,Centre-right,"social-democratic, multiculturalist, socially conservative elements","Minority-interest, pro-multicultural social-democratic party; economically left, but more socially conservative on some moral questions."
