Year,PZPR,ZSL,SD,IND,PAX,CSU,PZKS,SOL,UD,SLD,WAK,POC,PSL,KPN,KLD,PL,PPPP,MN,OTH91,AWS,UW,UP,BBWR,SLD_UP,SRP,PO,PiS,LPR,ROP,LiD,RP,K15,N,KO,LEWICA,POLKOL,CONFED,TD,Total,Notes
1952,273,113,16,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,"First PRL Sejm election, single Front of National Unity list, official results only."
1957,237,120,39,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,"FJN list dominated by PZPR, more 'independents' after 1956 thaw."
1961,256,117,39,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,"FJN controlled election, typical early-1960s Sejm composition (official data)."
1965,255,117,39,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,"FJN, highly stable one-party pattern."
1969,255,117,39,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,"FJN, near-identical distribution to 1965 (official results)."
1972,255,117,39,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,"FJN, late-Gomułka/early Gierek period."
1976,261,117,37,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,"FJN, typical mid-1970s Sejm composition."
1980,261,117,37,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,"FJN, 1980 Sejm results officially identical to 1976 distribution."
1985,261,117,37,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,"Last fully communist Sejm election before Round Table talks."
1989,173,76,27,0,10,8,5,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,"‘Contract election’: 65% of seats reserved to ruling coalition (PZPR, ZSL, SD, PAX, CSU, PZKS), 35% freely contested and all won by SOL (Solidarity)."
1991,0,0,0,0,0,0,0,27,62,60,49,44,48,46,37,28,16,7,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,"First fully free Sejm PR election, extreme fragmentation. OTH91=aggregate of many micro-lists with seats (local committees, small groups)."
1993,0,132,0,0,0,0,0,0,0,171,0,0,74,22,0,0,0,4,0,0,0,41,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,"SLD–PSL majority, electoral threshold eliminates most small parties, MN=German minority."
1997,0,27,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,2,0,201,60,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,460,"AWS (post-Solidarity right) wins, SLD largest single party, UW=Freedom Union, ROP small nationalist-conservative party, MN=German minority."
2001,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,41,0,216,53,65,44,38,0,0,0,0,0,0,0,0,0,0,460,"Return of the left via SLD_UP alliance, entry of PO, PiS, SRP (Samoobrona), LPR, MN=German minority."
2005,0,25,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,56,133,155,34,0,0,0,0,0,0,0,0,0,0,460,"Rightward shift: PiS largest party, PO strong second, SRP and LPR influential, SLD collapses, PSL and MN remain."
2007,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,209,166,0,0,53,0,0,0,0,0,0,0,0,460,"Early elections: PO wins and leads coalition with PSL, PiS strong opposition, LiD is centre-left alliance, MN retains 1 seat."
2011,0,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,40,207,157,0,0,0,0,0,0,0,0,0,0,0,460,"PO–PSL government re-elected, PiS second, RP (Palikot movement) new anti-clerical/liberal party, SLD weakened, MN=German minority."
2015,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,42,138,235,0,0,0,0,0,28,0,0,0,0,0,460,"PiS wins outright majority, new parties K15 (Kukiz'15) and N (.Nowoczesna), PSL and MN survive, SLD and other left lists shut out."
2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,134,49,30,11,0,460,"PiS retains majority, KO=Civic Coalition (PO-led), LEWICA (Left) alliance returns left to Sejm, POLKOL=Polish Coalition (PSL+Kukiz'15), CONFED=Konfederacja, MN=German minority."
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,157,26,65,18,65,460,"Opposition majority: KO, TD (Trzecia Droga) and LEWICA together outnumber PiS, CONFED remains small but relevant, no MN seat in 2023."
