Acronym,NativeName,EnglishName,EconRating,SocialRating,EconCategory,SocialCategory,SocialCategoryExtended,Notes
PZPR,Polska Zjednoczona Partia Robotnicza,Polish United Workers' Party,-9,6,Far Left,Far Right,"authoritarian communist, one-party rule","Ruling party of the People's Republic of Poland 1948–1989."
ZSL,Zjednoczone Stronnictwo Ludowe,United People's Party,-4,3,Left,Centre-Right,"agrarian, pro-regime, socially conservative rural base","Satellite agrarian party allied with PZPR."
SD,Stronnictwo Demokratyczne,Alliance of Democrats,-2,-1,Centre-Left,Centre-Left,"moderate social-liberal, urban intelligentsia","Regime-loyal but relatively liberal intelligentsia party."
IND,Kandydaci niezależni,Independents,0,0,Centre,Centre,"heterogeneous non-party independents","Umbrella for independent MPs rather than a unified party."
PAX,Stowarzyszenie PAX,PAX Association,-3,5,Left,Right,"pro-regime Catholic, socially conservative","Catholic lay movement collaborating with the communist authorities."
CSU,Unia Chrześcijańsko-Społeczna,Christian Social Union,1,5,Centre-Right,Right,"small Christian-democratic, socially conservative Catholic milieu","Minor Christian-social grouping represented in the late PRL period."
PZKS,Polski Związek Katolicko-Społeczny,Polish Catholic Social Union,1,7,Centre-Right,Far Right,"Christian-social, strongly pro-life, conservative Catholic","Small Catholic political association, cooperated with the regime while stressing Christian ethics."
SOL,Komitet Obywatelski „Solidarność”,Solidarity Citizens' Committee,0,1,Centre,Centre-Right,"big-tent anti-communist, mix of liberals and conservatives","Electoral vehicle of the Solidarity movement in the 1989 semi-free election."
UD,Unia Demokratyczna,Democratic Union,4,-1,Right,Centre-Left,"liberal-democratic, pro-market, pro-EU, socially moderate-liberal","Post-Solidarity liberal party of Mazowiecki/Kuroń era."
SLD,Sojusz Lewicy Demokratycznej,Democratic Left Alliance,-4,-2,Left,Centre-Left,"post-communist social-democratic, pro-EU","Main social-democratic successor to PZPR in the 1990s–2000s."
WAK,Katolicki Komitet Wyborczy „Ojczyzna”,Catholic Electoral Committee ""Fatherland"",2,6,Centre-Right,Far Right,"Christian-democratic, socially conservative, agrarian-tinged","Conservative Catholic alliance participating in early post-communist elections."
POC,Porozumienie Obywatelskie Centrum,Centre Citizens' Alliance,3,4,Right,Right,"post-Solidarity, Christian-democratic, national-conservative","Centre-right bloc linked to Centre Agreement milieus."
PSL,Polskie Stronnictwo Ludowe,Polish People's Party,1,2,Centre-Right,Centre-Right,"agrarian, Christian-democratic, rural conservative","Long-standing peasant party, now a moderate Christian-democratic force."
KPN,Konfederacja Polski Niepodległej,Confederation of Independent Poland,2,6,Centre-Right,Far Right,"anti-communist, national-conservative, strongly Catholic","Hardline anti-communist opposition party active already under PRL."
KLD,Kongres Liberalno-Demokratyczny,Liberal Democratic Congress,5,-1,Right,Centre-Left,"economically liberal, pro-market, moderately socially liberal","Early 1990s economic-liberal party associated with Balcerowicz reforms."
PL,Porozumienie Ludowe,Peasants' Agreement / People's Alliance,-1,3,Centre-Left,Centre-Right,"agrarian Christian-democratic, rural conservative","Breakaway agrarian alliance rooted in Rural Solidarity and PSL splinters."
PPPP,Polska Partia Przyjaciół Piwa,Polish Beer-Lovers' Party,0,-1,Centre,Centre-Left,"protest/satirical party with mild liberal leanings","Humorous 1991 protest party that briefly won Sejm representation."
MN,Mniejszość Niemiecka,German Minority,0,1,Centre,Centre-Right,"centrist, Christian-democratic, pro-EU, minority-interest","Represents the German ethnic minority in Silesia and Opole regions."
OTH91,Inne komitety 1991,Other lists 1991,0,0,Centre,Centre,"heterogeneous collection of minor lists","Technical bucket for very small parties in the fragmented 1991 election."
AWS,Akcja Wyborcza Solidarność,Solidarity Electoral Action,3,5,Right,Right,"broad right-wing, Christian-democratic, trade-union rooted","Large post-Solidarity coalition governing 1997–2001."
UW,Unia Wolności,Freedom Union,4,-2,Right,Centre-Left,"liberal-democratic, strongly pro-EU, socially progressive","Merged liberal and democratic-opposition currents; key 1990s reform party."
UP,Unia Pracy,Labour Union,-5,-3,Left,Left,"social-democratic, progressive, pro-EU","Small social-democratic party from trade-union/left-intelligentsia circles."
BBWR,Bezpartyjny Blok Wspierania Reform,Nonpartisan Bloc for Support of Reforms,2,4,Centre-Right,Right,"Christian-democratic, conservative-populist, presidentialist","Lech Wałęsa-aligned vehicle in the early 1990s."
SLD_UP,Koalicja SLD–UP,Democratic Left Alliance – Labour Union coalition,-5,-2,Left,Centre-Left,"united social-democratic left, pro-welfare, pro-EU","Joint electoral list of SLD and UP."
SRP,Samoobrona Rzeczpospolitej Polskiej,Self-Defence of the Republic of Poland,-5,6,Left,Far Right,"agrarian left-populist, nationalist, socially conservative","Populist farmers' and protest party combining welfare statism with strong social conservatism."
PO,Platforma Obywatelska,Civic Platform,4,-1,Right,Centre-Left,"liberal-conservative, economically liberal, moderate-liberal on social issues","Main centre-right liberal party; later core of Civic Coalition."
PiS,Prawo i Sprawiedliwość,Law and Justice,-1,8,Centre-Left,Far Right,"national-conservative, right-wing populist, Catholic, economically interventionist","Dominant right-wing party with welfare-statist economics and hard conservative social agenda."
LPR,Liga Polskich Rodzin,League of Polish Families,-4,9,Left,Far Right,"far-right Catholic nationalist, strongly interventionist","Ultraconservative, nationalist, anti-liberal, very traditionalist on social issues."
ROP,Ruch Odbudowy Polski,Movement for the Reconstruction of Poland,1,7,Centre-Right,Far Right,"national-conservative, Christian-democratic, populist","Right-wing Olszewski-led party critical of post-communist elites."
LiD,Lewica i Demokraci,Left and Democrats,-4,-2,Left,Centre-Left,"broad centre-left alliance of social democrats and liberals","Coalition linking SLD, UP and smaller centre-left groups."
RP,Ruch Palikota / Twój Ruch,Palikot's Movement / Your Movement,-2,-7,Centre-Left,Far Left,"social-liberal, progressive, strongly anti-clerical","Radically secular, pro-LGBT, pro-civil liberties; economically moderate left."
K15,Kukiz’15,Kukiz'15,1,5,Centre-Right,Right,"anti-establishment, right-leaning populist, socially conservative","Personalist movement around Paweł Kukiz; anti-party-system and referendist."
N,Nowoczesna,Modern,6,-4,Far Right,Left,"strongly economically liberal, socially liberal, pro-EU","Urban liberal party advocating flat tax and pro-business reforms."
KO,Koalicja Obywatelska,Civic Coalition,4,-2,Right,Centre-Left,"liberal-conservative, pro-EU, umbrella around PO and smaller liberals","Electoral bloc led by Civic Platform opposing PiS."
LEWICA,Lewica,The Left,-7,-6,Far Left,Far Left,"alliance of social-democratic and democratic-socialist parties, progressive","Contemporary parliamentary left bloc (New Left, Razem etc.)."
POLKOL,Koalicja Polska,Polish Coalition,2,2,Centre-Right,Centre-Right,"PSL-led Christian-democratic, moderate conservative agrarian alliance","Centrist–conservative bloc built around PSL with small partners."
