Year,PS,PSD,CDS-PP,PCP,PEV,BE,PAN,CH,IL,L,PRD,PPM,PSN,UDP,MDP/CDE,UEDS,ASDI,JPP,Total,Notes
1976,107,73,42,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,263,First democratic legislative election; 'PPD' counted under PSD.
1979,74,80,43,44,0,0,0,0,0,0,0,5,0,1,3,0,0,0,250,"AD split: PSD 80, CDS 43, PPM 5. APU split: PCP 44 + MDP/CDE 3."
1980,66,82,46,39,0,0,0,0,0,0,0,6,0,1,2,4,4,0,250,"AD split: PSD 82, CDS 46, PPM 6. APU: PCP 39 + MDP/CDE 2. FRS: PS 66 + UEDS 4 + ASDI 4."
1983,101,75,30,41,0,0,0,0,0,0,0,0,0,0,3,0,0,0,250,APU split: PCP 41 + MDP/CDE 3.
1985,57,88,22,35,0,0,0,0,0,0,45,0,0,0,3,0,0,0,250,APU split: PCP 35 + MDP/CDE 3.
1987,60,148,4,29,2,0,0,0,0,0,7,0,0,0,0,0,0,0,250,CDU split per Parliament page: PCP 29 + PEV 2.
1991,72,135,5,15,2,0,0,0,0,0,0,0,1,0,0,0,0,0,230,CDU split: PCP 15 + PEV 2.
1995,112,88,15,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,230,CDU split: PCP 13 + PEV 2.
1999,115,81,15,15,2,2,0,0,0,0,0,0,0,0,0,0,0,0,230,CDU split: PCP 15 + PEV 2; BE 2.
2002,96,105,14,10,2,3,0,0,0,0,0,0,0,0,0,0,0,0,230,CDU split: PCP 10 + PEV 2.
2005,121,75,12,12,2,8,0,0,0,0,0,0,0,0,0,0,0,0,230,CDU split: PCP 12 + PEV 2.
2009,97,81,21,13,2,16,0,0,0,0,0,0,0,0,0,0,0,0,230,CDU split: PCP 13 + PEV 2.
2011,74,108,24,14,2,8,0,0,0,0,0,0,0,0,0,0,0,0,230,CDU split: PCP 14 + PEV 2.
2015,86,89,18,15,2,19,1,0,0,0,0,0,0,0,0,0,0,0,230,PaF split per Parliament page: PSD 89 + CDS-PP 18; CDU: PCP 15 + PEV 2.
2019,108,79,5,10,2,19,4,1,1,1,0,0,0,0,0,0,0,0,230,CDU split: PCP 10 + PEV 2.
2022,120,77,0,6,0,5,1,12,8,1,0,0,0,0,0,0,0,0,230,"Parliament page lists PCP 6, PEV 0."
2024,78,78,2,4,0,5,1,50,8,4,0,0,0,0,0,0,0,0,230,Parliament page split: PSD 78 + CDS-PP 2 under AD; CDU: PCP 4 + PEV 0.
2025,58,91,0,3,0,1,1,60,9,6,0,0,0,0,0,0,0,1,230,AD coalition total 91 not split by party officially yet; left at 0 for PSD/CDS-PP/PPM.
