Acronym,NativeName,EnglishName,EconRating,SocialRating,EconCategory,SocialCategory,SocialCategoryExtended,Notes
PS,Partido Socialista,Socialist Party,-2,-2,Centre-Left,Centre-Left,"Social‑democratic, progressive",Mainstream centre-left; pro‑EU.
PSD,Partido Social Democrata,Social Democratic Party,2,1,Centre-Right,Centre-Right,"Liberal‑conservative, pro‑market","Despite the name, sits centre‑right in Portugal."
CDS-PP,Centro Democrático e Social – Partido Popular,People's Party (CDS–PP),4,5,Right,Right,"Christian‑democratic, conservative",Socially conservative; right of PSD.
PCP,Partido Comunista Português,Portuguese Communist Party,-9,-4,Far Left,Left,"Marxist‑Leninist, labour‑oriented",Eurosceptic left; traditional organized labour base.
PEV,"Os Verdes (Partido Ecologista ""Os Verdes"")",Ecologist Party 'The Greens',-4,-5,Left,Left,"Green‑left, eco‑social",Part of CDU with PCP; environmental focus.
BE,Bloco de Esquerda,Left Bloc,-6,-6,Left,Left,"Democratic‑socialist, feminist","Pro‑LGBTQ+, anti‑austerity."
PAN,Pessoas–Animais–Natureza,People–Animals–Nature,-2,-4,Centre-Left,Left,"Green‑liberal, animalist",Issue‑driven; progressive on civil rights.
CH,Chega,Chega,5,8,Right,Far Right,"National‑conservative, populist",Law‑and‑order; hardline immigration stance.
IL,Iniciativa Liberal,Liberal Initiative,7,-2,Far Right,Centre-Left,"Classical‑liberal, civil‑libertarian",Pro‑market reforms; liberal on social issues.
L,LIVRE,LIVRE,-5,-6,Left,Left,"Green‑left, pro‑EU",Progressive; European federalist leanings.
PRD,Partido Renovador Democrático,Democratic Renewal Party,0,-1,Centre,Centre-Left,Centrist reformist (1980s),Short‑lived centrist wave in mid‑1980s.
PPM,Partido Popular Monárquico,People's Monarchist Party,2,4,Centre-Right,Right,Conservative‑monarchist,Small right‑conservative monarchist party.
PSN,Partido da Solidariedade Nacional,Seniors' Party,1,1,Centre-Right,Centre-Right,"Centrist, pensioner‑interest",Focused on retirees' issues; late 1980s–1990s.
UDP,União Democrática Popular,Popular Democratic Union,-8,-6,Far Left,Left,Revolutionary socialist,Merged into BE in 1999.
MDP/CDE,Movimento Democrático Português – Comissões Democráticas Eleitorais,Portuguese Democratic Movement – Democratic Electoral Commissions,-6,-4,Left,Left,"Left‑wing, civic‑democratic",Allied with PCP in APU/CDU.
UEDS,União da Esquerda para a Democracia Socialista,Leftwing Union for Socialist Democracy,-5,-4,Left,Left,Socialist left (historic),Part of 1980 FRS alliance with PS.
ASDI,Acção Social-Democrata Independente,Independent Social Democratic Action,-1,-1,Centre-Left,Centre-Left,Moderate social‑democratic (historic),Also in 1980 FRS with PS.
JPP,Juntos pelo Povo,Together for the People,0,0,Centre,Centre,"Centrist, regionalist (Madeira)",Regionalist origins; pragmatic centrist.
