Year,FSU,FDSU,FDSN,CDR,FSN,PUNR,UDMR,PRM,PSM,MIN,PDSR,USD,PSD,PD,PNL,PDL,PC,IND,PSD_PC,USL,ARD,PPDD,USR,ALDE,PMP,USRPLUS,AUR,ADU,SOS,Total,Notes
1975,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,"Great National Assembly election under communist system; single list Front of Socialist Unity (FSU)."
1980,0,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,"Great National Assembly election under communist system; single list Front of Democracy and Socialist Unity (FDSU)."
1985,0,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,"Great National Assembly election under communist system; single list Front of Democracy and Socialist Unity (FDSU)."
1992,0,0,117,82,43,30,27,16,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,"Chamber of Deputies; multi-party election. FDSN: Democratic National Salvation Front; CDR: Romanian Democratic Convention; FSN: National Salvation Front; PUNR: Romanian National Unity Party; UDMR: Democratic Alliance of Hungarians in Romania; PRM: Greater Romania Party; PSM: Socialist Party of Labour; MIN: recognized ethnic minorities."
1996,0,0,0,122,0,18,25,19,0,15,91,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,"Chamber of Deputies; CDR: Romanian Democratic Convention; PDSR: Party of Social Democracy in Romania; USD: Social Democratic Union alliance; PUNR, PRM, UDMR, MIN as above."
2000,0,0,0,0,0,0,27,84,0,18,0,0,155,31,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,"Chamber of Deputies; PSD: Social Democratic Party (PDSR/PSD); PRM: Greater Romania Party; PD: Democratic Party; PNL: National Liberal Party; UDMR, MIN as above."
2004,0,0,0,0,0,0,22,22,0,18,0,0,105,0,59,67,19,13,0,0,0,0,0,0,0,0,0,0,0,325,"Chamber of Deputies; seat counts reflect composition during 2004–2008 legislature (not exact election-night result). PSD: Social Democratic Party; PDL: Democratic Liberal Party; PNL: National Liberal Party; PRM: Greater Romania Party; UDMR; PC: Conservative Party; MIN: national minorities; IND: independents."
2008,0,0,0,0,0,0,22,0,0,18,0,0,0,0,65,115,0,0,114,0,0,0,0,0,0,0,0,0,0,334,"Chamber of Deputies; PDL: Democratic Liberal Party; PSD_PC: Social Democratic Party–Conservative Party alliance; PNL; UDMR; MIN: 18 ethnic minority seats including overhang. Total includes minorities."
2012,0,0,0,0,0,0,18,0,0,18,0,0,0,0,0,0,0,0,0,273,56,47,0,0,0,0,0,0,0,412,"Chamber of Deputies; USL: Social Liberal Union (PSD+PNL+PC+UNPR); ARD: Right Romania Alliance (PDL+PNȚCD+FC); PPDD: People's Party – Dan Diaconescu; UDMR; MIN: ethnic minorities. Parliament enlarged due to overhang seats."
2016,0,0,0,0,0,0,21,0,0,17,0,0,154,0,69,0,0,0,0,0,0,0,30,20,18,0,0,0,0,329,"Chamber of Deputies; PSD: Social Democratic Party; PNL: National Liberal Party; USR: Save Romania Union; UDMR; ALDE: Liberal-Democrat Alliance; PMP: People's Movement Party; MIN: minorities."
2020,0,0,0,0,0,0,21,0,0,18,0,0,110,0,93,0,0,0,0,0,0,0,0,0,0,55,33,0,0,330,"Chamber of Deputies; PSD; PNL; USRPLUS: USR–PLUS Alliance; AUR: Alliance for the Union of Romanians; UDMR; MIN: minorities. Total includes minority seats."
2024,0,0,0,0,0,0,18,0,0,18,0,0,139,0,79,0,0,0,0,0,0,0,0,0,0,0,51,42,7,354,"Chamber of Deputies; PSD; PNL; AUR; ADU: United Right Alliance; UDMR; SOS: SOS Romania; MIN: minorities. Based on latest published data; please verify before final publication."
