Acronym,NativeName,EnglishName,EconRating,SocialRating,EconCategory,SocialCategory,SocialCategoryExtended,Notes
FSU,Frontul Unității Socialiste,Front of Socialist Unity,-9,7,Far Left,Far Right,authoritarian socialist; one-party communist front,Popular-front umbrella for the Romanian Communist Party; de facto single list in Great National Assembly elections.
FDSU,Frontul Democrației și Unității Socialiste,Front of Socialist Unity and Democracy,-9,7,Far Left,Far Right,authoritarian socialist; one-party communist front,Successor popular front dominated by the Romanian Communist Party; only legal electoral list 1980–1989.
FSN,Frontul Salvării Naționale,National Salvation Front,-2,2,Centre-Left,Centre-Right,"big‑tent post‑communist, mildly conservative",Provisional governing front formed during the 1989 Revolution; mixed reformist and neo‑communist currents.
FDSN,Frontul Democrat al Salvării Naționale,Democratic Front of National Salvation,-4,1,Left,Centre-Right,"social‑democratic, mildly conservative","Split from FSN around Ion Iliescu; centre‑left / left‑wing social‑democratic orientation, predecessor to PDSR/PSD."
CDR,Convenția Democrată Română,Romanian Democratic Convention,3,1,Right,Centre-Right,"centre‑right, Christian‑democratic / liberal‑conservative",Anti‑communist democratic alliance of centre‑right and Christian‑democratic parties in the 1990s.
PUNR,Partidul Unității Naționale a Românilor,Romanian National Unity Party,2,6,Centre-Right,Right,"national‑conservative, ethnonationalist, socially conservative",Nationalist party with strong Romanian‑majoritarian and often anti‑Hungarian rhetoric; right‑wing to far‑right over much of its history.
UDMR,Uniunea Democrată Maghiară din România,Democratic Union of Hungarians in Romania,1,1,Centre-Right,Centre-Right,"minority‑interest, moderately conservative, Christian‑democratic","Federation representing the Hungarian minority; generally pro‑EU, regionalist, and moderate on economics but socially conservative on some issues."
PRM,Partidul România Mare,Greater Romania Party,1,8,Centre-Right,Far Right,"far‑right nationalist, strongly socially conservative","Ultranationalist, xenophobic, and often irredentist party; combines welfare statism for ethnic Romanians with authoritarian social conservatism."
PSM,Partidul Socialist al Muncii,Socialist Party of Labour,-7,4,Far Left,Right,"neo‑communist, left‑wing nationalist, socially conservative",Neo‑communist left‑wing party with nostalgia for the socialist era; economically statist and socially traditional.
PDSR,Partidul Democrației Sociale din România,Party of Social Democracy in Romania,-4,1,Left,Centre-Right,"social‑democratic, mildly conservative",Mainstream social‑democratic party of the 1990s; direct predecessor of today’s PSD.
PSD,Partidul Social Democrat,Social Democratic Party,-3,1,Left,Centre-Right,"centre‑left social‑democratic, moderately conservative on some social issues",Largest Romanian party in the post‑1989 era; combines social‑democratic welfare policies with relatively conservative stances on some cultural issues.
USD,Uniunea Social‑Democrată,Social Democratic Union,-1,1,Centre-Left,Centre-Right,"centre‑left alliance, moderate social conservatism",Electoral alliance of PD and PSDR in 1996; pragmatic pro‑EU centre‑left shading towards the centre.
PD,Partidul Democrat,Democratic Party,2,1,Centre-Right,Centre-Right,"centre‑right liberal‑conservative (post‑2000), moderate on social issues","Successor to part of FSN; moved from social‑democratic towards liberal‑conservative, pro‑market and pro‑EU."
PNL,Partidul Național Liberal,National Liberal Party,3,1,Right,Centre-Right,"centre‑right liberal, moderately conservative","Historic liberal party; economically market‑oriented and pro‑EU, with moderate social conservatism and civil‑liberties rhetoric."
PDL,Partidul Democrat‑Liberal,Democratic Liberal Party,3,2,Right,Centre-Right,"centre‑right to Right, liberal‑conservative","Merger of PD and Liberal Democrats; economically liberal and fiscally conservative, socially more traditional than PNL."
PC,Partidul Conservator,Conservative Party,2,3,Centre-Right,Right,"centre‑right conservative, socially traditional","Small conservative party (formerly Romanian Humanist Party); generally pro‑business and socially conservative, often allied with PSD."
MIN,Reprezentanți ai minorităților naționale,National minorities representatives (group),0,0,Centre,Centre,heterogeneous; mixture of minority‑interest and moderate positions,Reserved seats for officially recognised ethnic‑minority organisations; ideological positions vary widely.
IND,Independenți,Independents (non‑affiliated),0,0,Centre,Centre,mixed / non‑aligned,Non‑party deputies or small local groupings; no coherent shared ideology.
PSD_PC,Alianța PSD–PC,PSD–PC Alliance,-2,2,Centre-Left,Centre-Right,"centre‑left on economics, socially conservative",Electoral alliance led by PSD with the Conservative Party; blends redistributive economics with traditional‑values and law‑and‑order themes.
USL,Uniunea Social‑Liberală,Social Liberal Union,-1,1,Centre-Left,Centre-Right,"big‑tent, centre to centre‑left, moderately conservative","Grand coalition of PSD, PNL and PC; united mainly by opposition to President Băsescu, mixing social‑democratic and liberal‑conservative elements."
ARD,Alianța România Dreaptă,Right Romania Alliance,3,2,Right,Centre-Right,centre‑right conservative‑liberal,"Short‑lived centre‑right alliance (PDL, PNȚCD, Civic Force); economically liberal and fiscally conservative, socially traditional and pro‑EU."
