Year,ANO,DEUS,DS,EGY-MKDM,HLAS-SD,HK,HZDS,IND,KDH,KSS,LSNS,MOST-HID,NF,OLANO,PS,PSR,SDK,SDKU-DS,SIET,SLB,SMER-SD,SMK-MKP,SME-RODINA,SNS,SOP,SV,SZ,VPN,ZA-LUDI,ZRS,SaS,SDL,Total,Notes
1954,0,0,0,0,0,0,0,45,0,47,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,103,National Front list; seats by component parties from PSP data.
1960,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,All seats reported under National Front/Communist Party; component party distribution not specified.
1964,0,0,0,0,0,0,0,25,0,58,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,92,National Front list; seats by component parties from PSP data.
1971,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,All 150 seats won by National Front list; component parties not reported separately.
1976,0,0,0,0,0,0,0,35,0,101,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,150,National Front list; seats by component parties from official data.
1981,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,All 150 seats won by National Front list; component parties not reported separately.
1986,0,0,0,0,0,0,0,33,0,103,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,150,National Front list; seats by component parties from official data.
1990,0,0,7,14,0,0,0,0,31,22,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,6,48,0,0,0,0,150,First free election; VPN-led government.
1992,0,0,0,14,0,0,74,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,29,150,HZDS minority government; Hungarian coalition EGY-MKDM treated as single list.
1994,0,15,0,0,0,17,61,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,18,0,0,0,13,0,0,150,HZDS ran with PPS; all seats recorded under HZDS; Hungarian Coalition treated as single list.
1998,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,42,0,0,0,0,15,0,14,13,0,0,0,0,0,0,23,150,SDK government; SMK-MKP Hungarian minority party.
2002,15,0,0,0,0,0,36,0,15,11,0,0,0,0,0,0,0,28,0,0,25,20,0,0,0,0,0,0,0,0,0,0,150,"Centre-right coalition (SDKU-DS, SMK-MKP, KDH, ANO). SMER-SD in opposition."
2006,0,0,0,0,0,0,15,0,14,0,0,0,0,0,0,0,0,31,0,0,50,20,0,20,0,0,0,0,0,0,0,0,150,Smer-SD led coalition with SNS and HZDS.
2010,0,0,0,0,0,0,0,0,15,0,0,14,0,0,0,0,0,28,0,0,62,0,0,9,0,0,0,0,0,0,22,0,150,"Smer-SD plurality; centre-right government (SDKU-DS, SaS, KDH, Most-Hid)."
2012,0,0,0,0,0,0,0,0,16,0,0,13,0,16,0,0,0,11,0,0,83,0,0,0,0,0,0,0,0,0,11,0,150,Single-party Smer-SD majority.
2016,0,0,0,0,0,0,0,0,0,0,14,11,0,19,0,0,0,0,10,0,49,0,11,15,0,0,0,0,0,0,21,0,150,Fragmented parliament; Smer-SD minority government.
2020,0,0,0,0,0,0,0,0,0,0,17,0,0,53,0,0,0,0,0,0,38,0,17,0,0,0,0,0,12,0,13,0,150,OLANO-led coalition; surge of anti-corruption parties.
2023,0,0,0,0,27,0,0,0,12,0,0,0,0,16,32,0,0,0,0,0,42,0,0,10,0,0,0,0,0,0,11,0,150,Return of Smer-SD; PS and Hlas-SD as major opposition parties.
