Acronym,NativeName,EnglishName,EconRating,SocialRating,EconCategory,SocialCategory,SocialCategoryExtended,Notes
KSS,Komunistická strana Slovenska,Communist Party of Slovakia,-9,8,Far Left,Far Right,orthodox Marxist-Leninist,Slovakia
PS,Progresívne Slovensko,Progressive Slovakia,-2,-6,Left,Left,progressive and socially liberal,Slovakia
HLAS-SD,Hlas – sociálna demokracia,Voice – Social Democracy,-4,-1,Left,Centre-Left,social-democratic with mild nationalism,Slovakia
SMER-SD,Smer – sociálna demokracia,Direction – Social Democracy,-3,3,Centre-Left,Centre-Right,left-populist and socially conservative,Slovakia
OLANO,Obyčajní ľudia a nezávislé osobnosti,Ordinary People and Independent Personalities,-1,2,Centre-Left,Centre-Right,anti-corruption conservative populism,Slovakia
SNS,Slovenská národná strana,Slovak National Party,4,7,Centre-Right,Right,hard nationalism and traditionalism,Slovakia
LSNS,Ľudová strana Naše Slovensko,People's Party Our Slovakia,6,9,Right,Far Right,extreme nationalist and neo-fascist aligned,Slovakia
SME-RODINA,Sme Rodina,We Are Family,-1,3,Centre-Left,Centre-Right,social populism and anti-elite rhetoric,Slovakia
SaS,Sloboda a Solidarita,Freedom and Solidarity,6,-4,Right,Left,libertarian and socially liberal,Slovakia
KDH,Kresťanskodemokratické hnutie,Christian Democratic Movement,2,6,Centre-Right,Right,Christian-democratic and conservative,Slovakia
MOST-HID,Most–Híd,Bridge,-1,-1,Centre-Left,Centre-Left,ethnic-bridge liberalism,Slovakia
HZDS,Hnutie za demokratické Slovensko,Movement for a Democratic Slovakia,-1,4,Centre-Left,Centre-Right,authoritarian populism under Mečiar,Slovakia
SDKU-DS,Slovenská demokratická a kresťanská únia – Demokratická strana,Slovak Democratic and Christian Union – Democratic Party,3,-2,Centre-Right,Centre-Left,pro-EU liberal-conservative,Slovakia
SMK-MKP,Strana maďarskej komunity,Party of the Hungarian Community,-1,-2,Centre-Left,Centre-Left,minority-rights and liberal,Slovakia
ZA-LUDI,Za ľudí,For the People,-1,-2,Centre-Left,Centre-Left,anti-corruption and progressive liberalism,Slovakia
ANO,Aliancia nového občana,Alliance of the New Citizen,3,-2,Centre-Right,Centre-Left,pro-business liberalism,Slovakia
ZRS,Združenie robotníkov Slovenska,Association of Slovak Workers,-6,4,Left,Centre-Right,left-wing populism and nationalism,Slovakia
SDL,Strana demokratickej ľavice,Party of the Democratic Left,-5,-2,Left,Centre-Left,traditional social-democracy,Slovakia
VPN,Verejnosť proti násiliu,Public Against Violence,-1,-4,Centre-Left,Left,liberal democratic movement (1989),Slovakia
SDK,Slovenská demokratická koalícia,Slovak Democratic Coalition,2,-2,Centre-Right,Centre-Left,liberal-conservative pro-EU bloc,Slovakia
DEUS,Demokratická únia Slovenska,Democratic Union of Slovakia,1,-2,Centre,Centre-Left,liberal-conservative,Slovakia
SOP,Strana občianskeho porozumenia,Party of Civic Understanding,0,-1,Centre,Centre-Left,technocratic centrism,Slovakia
SIET,#SIEŤ,Network,2,0,Centre-Right,Centre,technocratic liberal-right,Slovakia
SZ,Strana zelených,Green Party,-6,-6,Left,Left,eco-socialist green politics,Slovakia
SV,Spoločná voľba,Common Choice,-4,-2,Left,Centre-Left,left electoral coalition,Slovakia
EGY-MKDM,Együttélés – Magyar Kereszténydemokrata Mozgalom,Coexistence – Hungarian Christian Democratic Movement,-2,2,Centre-Left,Centre-Right,ethnic-minority conservatism,Slovakia
PSR,Strana slovenského obrodenia,Party of Slovak Revival,-7,5,Far Left,Centre-Right,national-communist ideology,Slovakia
SLB,Strana slobody,Freedom Party,1,0,Centre,Centre,liberal-centrist,Slovakia
IND,Nezávislí,Independents,0,0,Centre,Centre,independent candidates,Slovakia
HK,Maďarská koalícia,Hungarian Coalition Party,-1,-1,Centre-Left,Centre-Left,ethnic-minority bloc,Slovakia
NF,Národný front,National Front,-10,10,Far Left,Far Right,authoritarian one-party system,Slovakia
