Year,DeSUS,DL,DSS,GS,LDS,Levica,LMŠ,MIN,NSi,PS,SAB,SD,SDS,SDZ,SKD,SKZ,SLS,SLS-SKD,SMS-Zeleni,SMC,SNS,SSS,SOS,UL,Zares,ZKS-SDP,ZL,ZLSD,ZS,ZSMS,ZaAB,Total,Notes
1990,0,0,0,0,0,0,0,2,0,0,0,0,6,8,11,11,0,0,0,0,0,5,3,0,0,14,0,0,8,12,0,80,Sociopolitical Chamber (80 seats) of Assembly of Socialist Republic of Slovenia; first multi-party election; pre-independence.
1992,0,0,6,0,22,0,0,2,0,0,0,0,4,0,15,0,10,0,0,0,12,0,0,14,0,0,0,0,5,0,0,90,First election to independent Slovenia's National Assembly (Državni zbor); 90 seats including 2 minority MPs.
1996,5,0,0,0,25,0,0,2,0,0,0,0,16,0,10,0,19,0,0,0,4,0,0,0,0,0,0,9,0,0,0,90,Second post-independence election to the National Assembly.
2000,4,0,0,0,34,0,0,2,8,0,0,0,14,0,0,0,0,9,4,0,4,0,0,0,0,0,0,11,0,0,0,90,Joint SLS–SKD list (SLS-SKD) won 9 seats; breakdown by party not available in standard sources.
2004,4,0,0,0,23,0,0,2,9,0,0,0,29,0,0,0,7,0,0,0,6,0,0,0,0,0,0,10,0,0,0,90,First regular election after EU accession (2004).
2008,7,0,0,0,5,0,0,2,0,0,0,29,28,0,0,0,5,0,0,0,5,0,0,0,9,0,0,0,0,0,0,90,"SD wins plurality; coalition with Zares, LDS and DeSUS."
2011,6,8,0,0,0,0,0,2,4,28,0,10,26,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,Early election; new party Positive Slovenia (PS) wins plurality.
2014,10,0,0,0,0,0,0,2,5,0,0,6,21,0,0,0,0,0,0,36,0,0,0,0,0,0,6,0,0,0,4,90,SMC (Miro Cerar) landslide; United Left (ZL) enters parliament; SLS and PS lose representation.
2018,5,0,0,0,0,9,13,2,7,0,5,10,25,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,90,"Fragmented parliament; LMŠ, Levica and SAB gain seats."
2022,0,0,0,41,0,5,0,2,8,0,0,7,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,Freedom Movement (GS) wins 41 seats; centre-left government formed under Robert Golob.
