Acronym,NativeName,EnglishName,EconRating,SocialRating,EconCategory,SocialCategory,SocialCategoryExtended,Notes
DeSUS,Demokratična stranka upokojencev Slovenije,Democratic Party of Pensioners of Slovenia,0,1,Centre,Centre,"pensioners' interest party, mildly welfarist",Centrist pensioners' party focused on social protection for the elderly; broadly liberal/centrist. Often in coalition with both left and right governments.
DL,Državljanska lista,Civic List,4,1,Centre-Right,Centre-Right,"classically liberal, pro‑market, socially moderately liberal","Classical‑liberal party, economically pro‑market and reformist, socially fairly liberal; ALDE member."
DSS,Demokratska stranka Slovenije,Democratic Party of Slovenia,2,1,Centre-Right,Centre-Right,moderate liberal‑conservative,Centrist to liberal‑conservative successor of part of the Slovenian Democratic Union; participated in early 1990s coalitions.
GS,Gibanje Svoboda,Freedom Movement,-1,-1,Centre-Left,Centre-Left,"progressive, liberal, green‑oriented","Governing social‑liberal, green‑liberal party; pro‑EU, progressive on social issues."
LDS,Liberalna demokracija Slovenije,Liberal Democracy of Slovenia,1,-1,Centre-Right,Centre-Left,"social‑liberal, pro‑EU","Dominant 1990s/early‑2000s governing party; economically liberal/centrist, socially liberal."
Levica,Levica,The Left,-8,-7,Far Left,Far Left,"eco‑socialist, democratic socialist, strongly progressive","Eco‑socialist, democratic‑socialist party; far‑left on economics and progressive on social issues."
LMŠ,Lista Marjana Šarca,List of Marjan Šarec,-1,-1,Centre-Left,Centre-Left,"social‑liberal, mildly progressive","Social‑liberal, mildly populist centrist/centre‑left party; ALDE / Renew Europe aligned."
MIN,Italijanska in madžarska manjšinska poslanca,Italian and Hungarian minority representatives,0,0,Centre,Centre,non‑programmatic minority representation,Reserved seats for Italian and Hungarian minorities; behaviour typically pragmatic and centrist.
NSi,Nova Slovenija – krščanski demokrati,New Slovenia – Christian Democrats,3,3,Right,Right,"Christian‑democratic, socially conservative","Christian‑democratic, conservative, pro‑EU; centre‑right/right with emphasis on family and Church."
PS,Pozitivna Slovenija,Positive Slovenia,-1,-1,Centre-Left,Centre-Left,"social‑liberal, mildly progressive","Centre‑left, social‑liberal party founded by Zoran Janković; pro‑EU and reformist."
SAB,Stranka Alenke Bratušek,Party of Alenka Bratušek,-1,-1,Centre-Left,Centre-Left,"social‑liberal, progressive","Social‑liberal, pro‑EU party (previously ZaAB); member of ALDE/Renew family."
SD,Socialni demokrati,Social Democrats,-4,-3,Left,Centre-Left,mainstream social‑democratic,Main centre‑left social‑democratic party; PES member and successor of post‑communist left.
SDS,Slovenska demokratska stranka,Slovenian Democratic Party,4,5,Right,Right,"national‑conservative, right‑wing populist","Right‑wing national‑conservative party led by Janez Janša; combines pro‑market economics with socially conservative, nationalist positions."
SDZ,Slovenska demokratična zveza,Slovenian Democratic Union,2,1,Centre-Right,Centre-Right,"liberal‑conservative, pro‑independence","Early liberal‑conservative, nationalist party in the DEMOS coalition; split produced DSS and others."
SKD,Slovenski krščanski demokrati,Slovene Christian Democrats,3,3,Right,Right,"Christian‑democratic, socially conservative","Christian‑democratic party; centre‑right on economics, socially conservative; merged into SLS‑SKD in 2000."
SKZ,Slovenska kmečka zveza,Slovenian Peasant Union,2,1,Centre-Right,Centre-Right,agrarian‑conservative,Agrarian conservative predecessor of SLS; represented farmers and rural interests.
SLS,Slovenska ljudska stranka,Slovenian People's Party,3,2,Right,Centre-Right,"agrarian, Christian‑democratic, conservative","Agrarian Christian‑democratic party; centre‑right with rural, conservative base."
SLS-SKD,SLS+SKD Slovenska ljudska stranka,SLS+SKD Slovenian People's Party,3,3,Right,Right,"united Christian‑democratic, agrarian conservative",Temporary merged party of SLS and SKD; firmly Christian‑democratic and conservative.
SMS-Zeleni,Stranka mladih – Zeleni Evrope,Youth Party – European Greens,-2,-3,Left,Centre-Left,"left‑green, youth‑focused, socially liberal","Green, youth‑oriented party; left‑leaning economics and socially liberal/green politics."
SMC,Stranka modernega centra,Modern Centre Party,0,-1,Centre,Centre-Left,"social‑liberal, technocratic","Social‑liberal, pro‑EU centrist party founded by Miro Cerar; economically moderate, socially liberal."
SNS,Slovenska nacionalna stranka,Slovenian National Party,2,7,Centre-Right,Far Right,"nationalist, right‑wing populist, socially very conservative","Nationalist, right‑wing populist party; culturally conservative, Eurosceptic, anti‑immigration."
SSS,Socialistična stranka Slovenije,Socialist Party of Slovenia,-6,-3,Far Left,Centre-Left,"post‑communist socialist, mildly reformist","Small socialist successor to Socialist Union; left‑wing economics, somewhat more moderate on social issues than old communists."
SOS,Slovenska obrtno‑podjetniška stranka,Slovenian Crafts Entrepreneurship Party,3,2,Right,Centre-Right,"pro‑small‑business, mildly conservative","Represents crafts and small entrepreneurs; pro‑business, fiscally centre‑right, moderately conservative socially."
UL,Združena lista,United List,-4,-3,Left,Centre-Left,broad post‑communist social‑democratic alliance,Early 1990s united left bloc that later evolved into ZLSD/SD; social‑democratic and pro‑welfare.
Zares,Zares – socialno liberalni,Zares – Social Liberals,-1,-2,Centre-Left,Centre-Left,"social‑liberal, progressive","Social‑liberal, pro‑EU party split from LDS; progressive on civil liberties and social policy."
ZKS-SDP,Stranka demokratične prenove (ZKS‑SDP),Party of Democratic Renewal,-7,-3,Far Left,Centre-Left,"reform communist, democratic socialist","Reformist successor of League of Communists; democratic‑socialist, pro‑welfare, gradually moderated into ZLSD/SD."
ZL,Zavezništvo Združena levica,United Left (alliance),-8,-7,Far Left,Far Left,"radical left, eco‑socialist","Radical‑left, eco‑socialist alliance that preceded Levica; strongly anti‑austerity and pro‑redistribution."
ZLSD,Združena lista socialnih demokratov,United List of Social Democrats,-4,-3,Left,Centre-Left,"social‑democratic, pro‑EU",Direct predecessor name of SD; mainstream social‑democratic party in 1990s/2000s.
ZS,Zeleni Slovenije,Greens of Slovenia,-1,2,Centre-Left,Centre-Right,"green conservative, environmentally focused but socially traditional",Green‑conservative party: centrist/centre‑right with environmental focus and some social conservatism.
ZSMS,Zveza socialistične mladine Slovenije,Alliance of Socialist Youth of Slovenia,-5,-3,Left,Centre-Left,"socialist youth, reformist",Former socialist youth organisation that evolved towards liberal/social‑democratic politics; broadly left‑wing and socially progressive.
ZaAB,Zavezništvo Alenke Bratušek,Alliance of Alenka Bratušek,-1,-1,Centre-Left,Centre-Left,"social‑liberal, pro‑EU","Original name of SAB; social‑liberal, centrist/centre‑left, pro‑European reform party."
