Year,AP,AP-PDP,Amaiur,BNG,CC,CC-NC,CC-NCa,CC-PNC,CCa,CD,CDC,CDS,CUP,CiU,Compromis,Compromis-Q,Cs,DiL,EA,EC-FED,EDCEE,EE,EHB,ERC,ERC-CatSi,ERC-FN,GBai,HB,IC,IU,IU-UP,Junts,JxCat,MP,Na+,NaBai,PAR,PCE,PDC,PNV,PP,PRC,PSA-PA,PSOE,PSP-US,Podemos,Sumar,TE,UCD,UCiDCC,UN,UP,UPC,UPN,UPyD,UV,Vox,Total,Notes
1977,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11,8,0,0,0,118,6,0,0,0,165,2,0,0,0,0,0,0,0,350,First democratic election after dictatorship. Minor one-off candidacies included EC-FED and EE. Total=350.
1979,0,0,0,0,0,0,0,0,0,9,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,23,0,7,0,0,5,121,0,0,0,0,168,0,1,0,1,1,0,0,0,349,"Totals sum to 350 when including minor lists UPC, PAR, UPN."
1982,0,107,0,0,0,0,0,0,0,0,0,2,0,12,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,202,0,0,0,0,11,0,0,0,0,0,0,0,0,350,PSOE landslide.
1996,0,0,0,2,4,0,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,21,0,0,0,0,0,0,0,0,0,5,156,0,0,141,0,0,0,0,0,0,0,0,0,0,0,1,0,350,Closest PP–PSOE race; PP governs via CiU/PNV/CC support.
2000,0,0,0,3,4,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,7,183,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,347,PP absolute majority. (IC=Iniciativa per Catalunya retained 1 seat.)
2008,0,0,0,2,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,6,154,0,0,169,0,0,0,0,0,0,0,0,0,0,1,0,0,350,Zapatero re-elected.
2011,0,0,7,2,0,2,0,0,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,186,0,0,110,0,0,0,0,0,0,0,0,0,0,5,0,0,348,PP landslide; abertzale left returns via Amaiur.
2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,8,0,0,0,0,2,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,123,0,0,90,0,69,0,0,0,0,0,0,0,0,0,0,0,350,Fragmented parliament; new entrants Podemos & Cs.
2016,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,32,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,137,0,0,85,0,0,0,0,0,0,0,71,0,0,0,0,0,350,Unidos Podemos (UP) includes ECP/En Marea/Compromís components.
2019,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,57,0,0,0,0,0,4,15,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,66,1,0,123,0,0,0,0,0,0,0,42,0,0,0,0,24,348,Snap election; Vox enters. (Row key 2019.1 = April 2019)
2019,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,10,0,0,0,0,0,5,13,0,0,1,0,0,0,0,0,8,3,0,0,0,0,0,7,89,0,0,120,0,0,0,1,0,0,0,35,0,0,0,0,52,349,"Repeat election; Vox surges, Cs collapses; Más País (MP) and CUP enter; TE=Teruel Existe, GBai=Geroa Bai."
2023,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,137,0,0,121,0,0,31,0,0,0,0,0,0,1,0,0,33,350,Hung parliament; Sumar succeeds UP.
