Year,S,M,FP,C,V,KD,MP,SD,NyD,H,CU,Total,Notes
1952,110,0,58,26,5,0,0,0,0,31,0,230,"Second Chamber; C shown as Farmers' League; V as Communist Party."
1956,106,0,58,19,6,0,0,0,0,42,0,231,"Second Chamber; C = Farmers' League; V = Communist Party."
1958,111,0,38,32,5,0,0,0,0,45,0,231,"Second Chamber; C = Centre Party (renamed from Farmers' League); H = Rightist Party."
1960,114,0,40,34,5,0,0,0,0,39,0,232,"Second Chamber; same five-party system (S, FP, H, C, V)."
1964,113,0,43,35,8,0,0,0,0,33,1,233,"Second Chamber; CU = Civic Unity joint list with 1 seat (independent from right bloc)."
1968,125,0,34,39,3,0,0,0,0,32,0,233,"Second Chamber; V listed as Left Party Communists; H as Right Party."
1970,163,41,58,71,17,0,0,0,0,0,0,350,"First election to unicameral Riksdag; 350 seats."
1973,156,51,34,90,19,0,0,0,0,0,0,350,"Famous 175–175 bloc tie between left and right."
1976,152,55,39,86,17,0,0,0,0,0,0,349,"First non-socialist government since 1930s; 349-seat Riksdag."
1979,154,73,38,64,20,0,0,0,0,0,0,349,"Non-socialist bloc (M+C+FP) retains power; V still small."
1982,166,86,21,56,20,0,0,0,0,0,0,349,"S returns to government under Olof Palme."
1985,159,76,51,43,19,1,0,0,0,0,0,349,"First KD seat via joint Centre–Christian Democrat list; counted under KD."
1988,156,66,44,42,21,0,20,0,0,0,0,349,"First MP (Green) representation; 20 seats."
1991,138,80,33,31,16,26,0,0,25,0,0,349,"Major realignment: KD enters as full party; NyD wins 25 seats; MP out."
1994,161,80,26,27,22,15,18,0,0,0,0,349,"MP returns (18 seats); NyD loses all seats."
1998,131,82,17,18,43,42,16,0,0,0,0,349,"Strong results for V and KD; fragmented non-socialist bloc."
2002,144,55,48,22,30,33,17,0,0,0,0,349,"Peak S dominance in late 1990s/early 2000s; seven-party Riksdag."
2006,130,97,28,29,22,24,19,0,0,0,0,349,"Alliance for Sweden (M+C+FP+KD) wins; Reinfeldt becomes PM."
2010,112,107,24,23,19,19,25,20,0,0,0,349,"First SD entry to Riksdag (20 seats); centre-right minority government."
2014,113,84,19,22,21,16,25,49,0,0,0,349,"SD strengthens (49 seats); red–green minority under Löfven."
2018,100,70,20,31,28,22,16,62,0,0,0,349,"Highly fragmented parliament; SD becomes third-largest party."
2022,107,68,16,24,24,19,18,73,0,0,0,349,"Right-wing bloc (M+KD+L with SD support) secures majority; SD second-largest party."
