Acronym,NativeName,EnglishName,EconRating,SocialRating,EconCategory,SocialCategory,SocialCategoryExtended,Notes
S,"Sveriges socialdemokratiska arbetareparti","Swedish Social Democratic Party",-3,-2,Centre-Left,Left,"social-democratic, pro-welfare, broadly progressive","Centre-left pillar of the Swedish welfare state; social democracy with pragmatic acceptance of markets." 
M,"Moderata samlingspartiet","Moderate Party",4,2,Right,Centre-Right,"liberal-conservative, market-oriented, moderately conservative","Centre-right liberal-conservative party; strong on tax cuts, deregulation and pro-EU stance." 
FP,"Folkpartiet liberalerna","Liberal People's Party / The Liberals",2,-2,Centre-Right,Left,"social-liberal on society, economically liberal","Classically pro-EU, pro-market social-liberal party; historically a centrist force but now more clearly right-of-centre." 
C,"Centerpartiet","Centre Party",1,-2,Centre-Right,Left,"green-liberal, socially liberal, rural interests","Agrarian roots; now green-liberal, decentralist and relatively pro-market while socially progressive." 
V,"Vänsterpartiet","Left Party",-8,-7,Far Left,Far Left,"eco-socialist, feminist, strongly egalitarian","Socialist, feminist and environmentalist; opposes privatisation and advocates expansive welfare and workers’ rights." 
KD,"Kristdemokraterna","Christian Democrats",3,5,Centre-Right,Right,"Christian-democratic, family-oriented, socially conservative","Christian-democratic party; centre-right economics with emphasis on traditional family, welfare with Christian-social values." 
MP,"Miljöpartiet de gröna","Green Party",-4,-6,Left,Left,"green, socially libertarian, cosmopolitan","Green, post-materialist party; strongly pro-environment, pro-rights and globally minded; often allies with the left." 
SD,"Sverigedemokraterna","Sweden Democrats",4,8,Right,Far Right,"national-conservative, anti-immigration, socially authoritarian","National-conservative, right-wing populist party; strict on immigration and law-and-order, culturally conservative, welfare-chauvinist." 
NyD,"Ny Demokrati","New Democracy",6,7,Right,Far Right,"right-populist, anti-immigration, authoritarian-leaning","Short-lived early-1990s right-wing populist party; combined tax-cutting economic liberalism with anti-immigration rhetoric." 
H,"Högerpartiet","Right Party (conservative predecessor to Moderates)",5,4,Right,Right,"traditional conservative, bourgeois, law-and-order","Historic conservative/‘Right’ party; pro-business, socially conservative, main non-socialist force before the modern Moderates." 
CU,"(Okänd/oberoende lista)","Civic Unity (independent/local list)",1,1,Centre-Right,Centre-Right,"loosely conservative-civic, non-ideological","Residual label for a small civic/independent list used in the historical dataset; not a major national party – position approximated."
